date,missing_member_count,missing_tickers
1996-01-01,0,
1996-02-01,296,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCB;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CMB;CNG;CNW;COMS;COV;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;CYR;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;ENRNQ;ENS;ETS;FBF;FBO;FCN;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HDLM;HES;HET;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;I;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LOR;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PMI;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USHC;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-03-01,296,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CMB;CNG;CNW;COMS;COV;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;CYR;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;ENRNQ;ENS;ETS;FBF;FBO;FCN;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HDLM;HES;HET;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;I;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LOR;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PMI;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USHC;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-04-01,295,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CNG;CNW;COMS;COV;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;EMC;ENRNQ;ENS;ETS;FBF;FCN;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GNT;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HES;HET;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LOR;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NLV;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PMI;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USHC;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WCOEQ;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-05-01,294,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CNG;CNW;COMS;COV;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;EMC;ENRNQ;ENS;ETS;FBF;FCN;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GNT;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HES;HET;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NLV;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PMI;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USHC;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WCOEQ;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-06-01,293,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CNG;CNW;COMS;COV;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;EMC;ENRNQ;ENS;ETS;FBF;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GNT;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HES;HET;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NLV;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TUP;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USHC;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WCOEQ;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-07-01,293,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CNG;CNW;COMS;COV;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;EMC;ENRNQ;ENS;ETS;FBF;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GNT;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HES;HET;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NLV;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TUP;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USHC;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WCOEQ;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-08-01,293,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BMGCA;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CNG;CNW;COMS;COV;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;EMC;ENRNQ;ENS;ETS;FBF;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GNT;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HES;HET;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NLV;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TUP;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WCOEQ;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-09-01,294,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BMGCA;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CNG;CNW;COMS;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;DALRQ;DCNAQ;DEC;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;EMC;ENRNQ;ENS;ETS;FBF;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GNT;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HES;HET;HFS;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LSI;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NLV;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OM;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SEG;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TUP;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USS;UST;USW;UTX;VAT;VO;WAI;WB;WBA;WCOEQ;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
1996-10-01,294,AAL;AAMRQ;ABI;ABS;ABX;ACKH;ACV;AEE;AGC;AGN;AHM;AL;AM;AMH;AMP;ANDW;ANV;AR;ARC;ARNC;AS;ASC;AT;ATI;AVP;AZA-A;BAY;BBI;BCR;BDK;BEAM;BEV;BFI;BFO;BGG;BHGE;BHMSQ;BK;BKB;BLL;BLS;BLY;BMET;BMGCA;BNI;BNL;BOAT;BOL;BR;BT;BUD;CA;CBB;CBS;CCI;CCTYQ;CEG;CEN;CFL;CG;CGP;CHA;CHRS;CMA;CNG;CNW;COMS;CPQ;CR;CRR;CSE;CSR;CTB;CTX;CYM;DALRQ;DCNAQ;DEC;DELL;DGN;DI;DIGI;DJ;DOW;DWD;EC;ECH;ECO;EFU;EKDKQ;EMC;ENRNQ;ENS;ETS;FBF;FDC;FE;FG;FJ;FL;FLMIQ;FLTWQ;FTL-A;FWLT;G;GAPTQ;GAS;GDW;GFS-A;GIDL;GLD;GLK;GNT;GP;GPS;GPU;GR;GRA;GRN;GSX;GTE;GWF;H;HCA;HES;HET;HFS;HI;HLT;HM;HNZ;HPC;HPH;HRS;HSH;IKN;INCLF;INGR;IPG;IR;JAVA;JCP;JH;JOS;JP;JWN;K;KATE;KM;KMG;KRB;KRI;KWP;LB;LDG;LDW-B;LLX;LSI;LU;LUB;MAY;MCIC;MDP;MDR;MEA;MEE;MEL;MER;MII;MIL;MKG;MMC;MNR;MOB;MRO;MST;MTLQQ;MWI;MWV;MYG;MZIAQ;NAE;NAV;NCC;NLC;NLV;NOVL;NRTLQ;NSI;NSM;NYN;OAT;OMX;ONE;ORX;OWENQ;PAC;PAS;PBY;PCH;PD;PDG;PEL;PET;PGL;PGN;PHA;PHB;PKI;PLL;PNU;PPW;PRD;PVN;PX;PZE;RAD;RAL;RBD;RBK;RDC;RDS-A;RLM;RML;RNB;ROH;RRD;RSHCQ;RTN;RYAN;RYC;RYI;S;SAF;SB;SEG;SFA;SFS;SGID;SGP;SHN;SIAL;SK;SMI;SMS;SRR;STI;STJ;STO;SUN;TA;TCOMA;TDM;TEK;TEN;TGNA;THY;TIN;TMC;TMC-A;TMK;TNB;TOY;TRB;TRW;TUP;TX;TXU;UAWGQ;UCC;UCL;UCM;UK;UMG;UN;USBC;USH;USS;UST;USW;UTX;VO;WAI;WB;WBA;WCOEQ;WLA;WLL;WMX;WNDXQ;WWY;WYE;X;YRCW
