effective_date,ticker,action,primary_source,secondary_source,agreement,confidence,note
1996-01-22,BCO,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-01-22,CSE,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-02-12,BAY,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-02-12,CCB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-03-08,FITB,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-03-08,HDLM,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-03-13,FBO,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-03-13,GNT,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-03-28,CYR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-03-28,EMC,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
1996-04-01,CMB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-04-01,I,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-04-01,NLV,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-04-01,WCOEQ,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-04-23,AON,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-04-23,LOR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-05-31,PMI,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-05-31,TUP,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-07-19,MTG,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-07-19,USHC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-07-22,BMGCA,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-07-22,CAL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-08-16,COV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-08-16,HFS,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-08-16,SEG,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-09-06,DELL,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
1996-09-06,VAT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-10-01,LU,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-10-01,OM,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-10-16,THY,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-10-16,UPR,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-11-04,RX,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-11-04,YRCW,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-12-03,CNW,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-12-03,MBI,ADD,qzzcl,leandroloi,True,CONFIRMED,
1996-12-19,BLY,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1996-12-19,GDT,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-01-02,AZO,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-01-02,FRO,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-01-02,LUB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-01-02,RYAN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-01-02,SHN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-01-02,TMO,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-01-07,BOAT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-01-08,EHC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-01-15,AAL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-01-15,CNC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-04-01,PAC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-04-03,PTC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-05-06,ADBE,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-05-06,GLD,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-05-27,CAH,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-05-27,CRR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-06-02,DWD,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-06-02,SCHW,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-06-18,CFC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-06-18,USH,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-06-19,EFX,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-06-19,PEL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-07-02,GWF,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-07-02,WAMUQ,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-07-17,GIDL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-07-17,SAI,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-07-28,APA,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-07-28,APC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-07-28,INGR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-07-28,SFS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-08-01,MD,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-08-04,OI,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-08-04,PGR,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-08-04,USBC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-08-06,ENS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-08-06,HBAN,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-08-07,MIR,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-08-07,NAE,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-08-15,NYN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-08-18,STT,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-09-02,CCU,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-09-02,TDM,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-09-15,AMH,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-09-15,KLAC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-10-07,SRR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-10-07,YUM,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-10-23,HBOC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-10-23,LLX,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-11-28,SB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-12-01,SNV,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-12-04,BBT,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-12-04,BEV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-12-18,CINF,ADD,qzzcl,leandroloi,True,CONFIRMED,
1997-12-18,HFS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-12-24,FLMIQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1997-12-24,OMC,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-01-12,BBI,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1998-01-12,LEHMQ,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-01-20,BIG,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-01-20,ECO,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1998-01-28,CBB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1998-01-28,SUB,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-01-30,NTRS,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-01-30,PAS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1998-02-23,MTL,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-04-01,JH,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1998-04-01,NXTL,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-04-01,SEE,ADD,qzzcl,leandroloi,True,CONFIRMED,
1998-04-01,SK,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
1998-04-08,AFS-A,ADD,qzzcl,leandroloi,True,CONFIRMED,
