ticker,action,cohort,announce_date,effective_date,return_pct
HOG,add,pre-2005,2000-01-26,2000-01-31,-6.2604449693378195
SCI,delete,pre-2005,2000-03-13,2000-03-16,-15.254276786996856
A,add,pre-2005,2000-05-31,2000-06-05,7.300490007134397
NC,delete,pre-2005,2000-05-31,2000-06-05,-1.8211820094870101
SBUX,add,pre-2005,2000-06-05,2000-06-08,-0.8771523017554905
CVG,add,pre-2005,2000-06-08,2000-06-13,2.564080068760899
CSR,delete,pre-2005,2000-06-13,2000-06-16,1.6906121971530519
SANM,add,pre-2005,2000-06-16,2000-06-21,4.236610711430866
VIAV,add,pre-2005,2000-07-24,2000-07-27,-2.2792087531365857
DVN,add,pre-2005,2000-08-25,2000-08-30,2.0942165629159515
NBR,add,pre-2005,2000-10-13,2000-10-18,-0.5190214656829784
EOG,add,pre-2005,2000-10-30,2000-11-02,6.310679647704798
NI,add,pre-2005,2000-10-30,2000-11-02,3.394254468989555
RHI,add,pre-2005,2000-11-30,2000-12-05,6.903736850591979
INTU,add,pre-2005,2000-12-06,2000-12-11,7.958926145895706
MET,add,pre-2005,2000-12-06,2000-12-11,6.214621086909022
CCK,delete,pre-2005,2000-12-06,2000-12-11,-17.460323281580592
OI,delete,pre-2005,2000-12-06,2000-12-11,-15.254243773280251
SYK,add,pre-2005,2000-12-07,2000-12-12,0.9608132583668771
FLR,add,pre-2005,2000-12-19,2000-12-22,7.851226709576764
JBL,add,pre-2005,2001-01-25,2001-01-30,8.800023187542848
CTAS,add,pre-2005,2001-02-26,2001-03-01,-19.18368985595249
FISV,add,pre-2005,2001-03-28,2001-04-02,-3.3248044113902364
ZION,add,pre-2005,2001-06-20,2001-06-25,-1.5703001875932765
ZBH,add,pre-2005,2001-08-02,2001-08-07,4.5026507538849625
TKR,delete,pre-2005,2001-08-02,2001-08-07,-0.1327639670040126
CIEN,add,pre-2005,2001-08-27,2001-08-30,-4.9322457748570585
OKE,delete,pre-2005,2001-08-27,2001-08-30,-4.6334598210227345
NVDA,add,pre-2005,2001-11-27,2001-11-30,1.0167426286195491
EQR,add,pre-2005,2001-11-28,2001-12-03,0.3848962811062506
WAT,add,pre-2005,2001-12-27,2002-01-02,-1.147961107605111
FMC,delete,pre-2005,2001-12-27,2002-01-02,6.823315004289032
FHN,add,pre-2005,2002-05-01,2002-05-06,-0.4126942513256071
TT,add,pre-2005,2002-05-08,2002-05-13,1.026765321430223
SPG,add,pre-2005,2002-06-21,2002-06-26,0.9776033074294199
EA,add,pre-2005,2002-07-17,2002-07-22,-15.174582610316268
EBAY,add,pre-2005,2002-07-17,2002-07-22,-9.039270920462084
GS,add,pre-2005,2002-07-17,2002-07-22,-3.3298114799687695
PFG,add,pre-2005,2002-07-17,2002-07-22,-4.9773898783370125
PRU,add,pre-2005,2002-07-17,2002-07-22,0.732087873120868
UPS,add,pre-2005,2002-07-17,2002-07-22,3.7992826139084057
CNC,delete,pre-2005,2002-07-22,2002-07-25,9.505208794143982
DGX,add,pre-2005,2002-12-09,2002-12-12,-1.6033812383445256
AN,add,pre-2005,2003-02-19,2003-02-24,5.075339894905229
AIV,add,pre-2005,2003-03-11,2003-03-14,2.418261869702487
MKC,add,pre-2005,2003-03-18,2003-03-21,5.415322347990004
EHC,delete,pre-2005,2003-03-18,2003-03-21,0.0
PLD,add,pre-2005,2003-07-14,2003-07-17,0.0
ESRX,add,pre-2005,2003-09-23,2003-09-26,-1.7476749548722248
BIIB,add,pre-2005,2003-11-10,2003-11-13,6.592078395201728
MTB,add,pre-2005,2004-02-24,2004-02-27,1.2224771943088575
VLO,add,pre-2005,2004-04-26,2004-04-29,2.3140386967317683
GILD,add,pre-2005,2004-06-28,2004-07-01,4.707509450216252
TPR,add,pre-2005,2004-08-27,2004-09-01,0.2376792361066249
LH,add,pre-2005,2004-10-27,2004-11-01,2.254456826430018
DLX,delete,pre-2005,2004-12-15,2004-12-20,-2.0512537211793025
WOR,delete,pre-2005,2004-12-15,2004-12-20,-3.129767523387239
HCA,add,post-2015,2015-01-22,2015-01-27,2.869281638359422
SWKS,add,post-2015,2015-03-09,2015-03-12,0.8032796879641646
HSIC,add,post-2015,2015-03-13,2015-03-18,2.0532347056327005
AAL,add,post-2015,2015-03-18,2015-03-23,0.4987984493966202
EQIX,add,post-2015,2015-03-18,2015-03-23,0.9048207663782337
SLG,add,post-2015,2015-03-18,2015-03-23,2.1592762723138925
NBR,delete,post-2015,2015-03-18,2015-03-23,1.7774387804883496
O,add,post-2015,2015-04-01,2015-04-07,-1.6122740620395093
QRVO,add,post-2015,2015-06-09,2015-06-12,4.322297254923946
JBHT,add,post-2015,2015-06-26,2015-07-01,-1.1333721965459453
ATI,delete,post-2015,2015-06-29,2015-07-02,-4.585069716464185
AAP,add,post-2015,2015-07-06,2015-07-09,-0.8261572532747841
PYPL,add,post-2015,2015-07-15,2015-07-20,7.891230263564153
SIG,add,post-2015,2015-07-24,2015-07-29,0.6113698102640397
UAL,add,post-2015,2015-08-31,2015-09-03,0.4914845941676349
NWS,add,post-2015,2015-09-16,2015-09-21,-0.7692218390242256
VRSK,add,post-2015,2015-10-05,2015-10-08,0.15995050923320875
HPE,add,post-2015,2015-10-28,2015-11-02,-10.995100967487769
FCPT,delete,post-2015,2015-11-12,2015-11-17,-3.3122244211058027
SYF,add,post-2015,2015-11-13,2015-11-18,3.505888452254946
GNW,delete,post-2015,2015-11-13,2015-11-18,0.8547000709448138
ILMN,add,post-2015,2015-11-16,2015-11-19,2.151553047494814
