strategy,rebalance_date,period_end,symbol,rank,score,target_weight,holding_return,gross_return_contribution,actual_start_weight,ending_weight
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,KO,1,-0.003339323750220391,0.2,-0.005117242975526404,-0.0010234485951052807,0.2000440096821301,0.19969395371489124
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,JNJ,2,-0.0037212702140352327,0.2,-0.030775213092632647,-0.00615504261852653,0.20004400968213007,0.195044781899907
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,CSCO,3,-0.00392859135753143,0.2,0.020224720829344456,0.0040449441658688915,0.2000440096821301,0.20503517100542856
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MCD,4,-0.003964519390041832,0.2,-0.001151990423891469,-0.00023039808477829383,0.20004400968213007,0.2003846897644222
Market-Residual Momentum,2021-08-23 00:00:00-04:00,2021-09-01 00:00:00-04:00,MSFT,5,-0.004251480338590907,0.2,-0.0012528456041481784,-0.0002505691208296357,0.20004400968213007,0.20006266111976576
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,KO,1,-0.0031819974114223326,0.2,-0.05678706431876779,-0.011357412863753559,0.20003247297519214,0.19489915625515092
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,VZ,2,-0.003300249633539809,0.2,-0.017818145826597243,-0.0035636291653194487,0.20003247297519214,0.20411268280180406
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,JNJ,3,-0.0037417808709797606,0.2,-0.06576038817801,-0.013152077635602,0.20003247297519214,0.19414935778521739
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,MCD,4,-0.0037940577787198837,0.2,0.02181786497285687,0.0043635729945713745,0.20003247297519214,0.2106763828997803
Market-Residual Momentum,2021-09-01 00:00:00-04:00,2021-10-01 00:00:00-04:00,WMT,5,-0.00401021308957672,0.2,-0.0562486283892486,-0.011249725677849721,0.20003247297519214,0.19633161729745102
Market-Residual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,VZ,1,-0.0020539650785599273,0.2,-0.002734374214906632,-0.0005468748429813264,0.2000132725449316,0.18890916521112894
Market-Residual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,KO,2,-0.002572823847084127,0.2,0.06839704899077281,0.013679409798154563,0.20001327254493162,0.2032661353447572
Market-Residual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,MCD,3,-0.002826449728932645,0.2,0.0112313522678531,0.00224627045357062,0.2000132725449316,0.192262613280992
Market-Residual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,JNJ,4,-0.0033700704701433715,0.2,0.010090851900217412,0.0020181703800434825,0.2000132725449316,0.19191140786955202
Market-Residual Momentum,2021-10-01 00:00:00-04:00,2021-11-01 00:00:00-04:00,MSFT,5,-0.003370548864954692,0.2,0.1745359338462984,0.034907186769259684,0.2000132725449316,0.2237140060884826
Market-Residual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,KO,1,-0.002231524692975384,0.2,-0.053185901947466085,-0.010637180389493218,0.20001406518012566,0.19425372618213707
Market-Residual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,VZ,2,-0.0023429327412166634,0.2,-0.051465169066616134,-0.010293033813323228,0.20001406518012568,0.19567795518557718
Market-Residual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,MCD,3,-0.002771615097076574,0.2,0.005380299012788248,0.0010760598025576495,0.20001406518012568,0.20737037315877352
Market-Residual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,JNJ,4,-0.003035353569166621,0.2,-0.032191958432683965,-0.0064383916865367935,0.20001406518012568,0.19935281439972533
Market-Residual Momentum,2021-11-01 00:00:00-04:00,2021-12-01 00:00:00-05:00,CSCO,5,-0.003283493677507243,0.2,-0.006085681715015667,-0.0012171363430031334,0.2000140651801257,0.20341820602126942
Market-Residual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,VZ,1,-0.0021677112621022454,0.2,0.031088920726085156,0.006217784145217032,0.20001723373466854,0.18856235432420107
Market-Residual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,KO,2,-0.0025489224109387365,0.2,0.11023048005116687,0.022046096010233374,0.20001723373466848,0.2048143524829849
Market-Residual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,JNJ,3,-0.0030746877542322526,0.2,0.08496966016455176,0.016993932032910355,0.20001723373466854,0.19984051477268885
Market-Residual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,MCD,4,-0.0032266789947781316,0.2,0.09655753190380967,0.019311506380761935,0.2000172337346685,0.19990065826058454
Market-Residual Momentum,2021-12-01 00:00:00-05:00,2022-01-03 00:00:00-05:00,PG,5,-0.0032649192263389804,0.2,0.11625829810722665,0.023251659621445334,0.2000172337346685,0.2069613090157852
Market-Residual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,MCD,1,-0.003551057262674462,0.2,-0.03614225062549936,-0.007228450125099872,0.20000120056083445,0.19085226351237167
Market-Residual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,PG,2,-0.0037095804243746366,0.2,-0.00019662566283773497,-3.9325132567546994e-05,0.20000120056083445,0.19777953463348938
Market-Residual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,KO,3,-0.003915614887440966,0.2,0.03553196787714441,0.007106393575428882,0.20000120056083445,0.2056184579905985
Market-Residual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,VZ,4,-0.003934586809600349,0.2,0.03789863069272004,0.007579726138544008,0.20000120056083445,0.2050955986347061
Market-Residual Momentum,2022-01-03 00:00:00-05:00,2022-02-01 00:00:00-05:00,JNJ,5,-0.004039541026116589,0.2,0.008988712714274705,0.001797742542854941,0.20000120056083445,0.20066011129830696
Market-Residual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,MCD,1,-0.0037751593341277534,0.2,-0.06199072302742026,-0.012398144605484052,0.20002112278095907,0.19452815266259724
Market-Residual Momentum,2022-02-01 00:00:00-05:00,2022-03-01 00:00:00-05:00,KO,2,-0.004020893995337116,0.2,0.020193661978037847,0.00403873239560757,0.20002112278095902,0.20977398198041164
