strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_current_rank,incoming_current_rank,rank_gap,outgoing_rank_deterioration,outgoing_score,incoming_score,score_spread,score_percentile_spread,outgoing_return_20d,incoming_return_20d,outgoing_return_60d,incoming_return_60d,outgoing_acceleration,incoming_acceleration,outgoing_unrealized_return,outgoing_holding_sessions,outgoing_mfe_to_date,outgoing_mae_to_date,outgoing_giveback,outgoing_recovery_from_mae,outgoing_currently_profitable,incoming_drawdown_from_60d_high,incoming_distance_from_189d_high,outgoing_subsequent_return,incoming_subsequent_return,replacement_advantage,outgoing_future_mfe,outgoing_future_mae,outgoing_future_max_drawdown,incoming_future_mfe,incoming_future_mae,incoming_future_max_drawdown
Dual Momentum,2021-10-01,2021-11-01,CSCO,HD,4,6,5,1,2,0.25112641854214846,0.25815172873362213,0.007025310191473677,0.03571428571428581,-0.07808275783457663,0.014275083077940565,0.02196752650153977,0.01993620320949896,-0.08540526666842323,0.0076296820081075785,-0.05911850490015402,28,0.029040707403714006,-0.05911850490015402,0.08815921230386803,0.0,False,-0.03851675686912881,-0.03851675686912881,0.03017283770135637,0.1366756589734266,0.10650282127207022,0.04584581276721833,-0.023115162239036202,-0.01939531345831913,0.14322746381456586,-0.01215876016904327,-0.010276755164074669
Dual Momentum,2021-11-01,2021-12-01,JPM,UNH,3,7,4,3,4,0.3339841406542814,0.39349208674350944,0.05950794608922805,0.1071428571428572,0.022638941139125457,0.17338128431301625,0.11598892121893689,0.12377825196124626,-0.016024032600520176,0.13212186699260084,0.10032654760532855,49,0.11256771904968788,-0.015257439107184467,0.012241171444359322,0.11558398671251302,True,0.0,0.0,-0.0641713371679199,-0.01933656732419531,0.04483476984372459,0.001685704232965879,-0.07992325608731776,-0.0767844012969291,0.00905119008294153,-0.05590928727913891,-0.05773651448603501
Dual Momentum,2021-12-01,2022-01-03,GS,CRM,1,10,3,7,9,0.14862370870792807,0.3833011424158741,0.23467743370794603,0.25,-0.08569702353515019,-0.058792326552895235,-0.07371561182194208,0.06694647339257509,-0.06112515292783616,-0.0811078176837536,-0.04739778055691646,70,0.0597664891365175,-0.06450006492768479,0.10716426969343396,0.017102284370768328,False,-0.08065533397856317,-0.08065533397856317,0.013496064507240169,-0.05990576480014076,-0.07340182930738093,0.04671482599578436,-0.044734431271431285,-0.07123051667652913,0.02093929245482551,-0.09588588459742875,-0.08866046482194412
Dual Momentum,2021-12-01,2022-01-03,AXP,AAPL,2,15,4,11,13,0.076773595130875,0.36056740619792427,0.28379381106704926,0.3928571428571429,-0.12576759428368278,0.11131318520323341,-0.04156552261582336,0.07285297105296862,-0.11191242007840833,0.08702886151891054,-0.05303802761567944,70,0.1632149634059017,-0.05303802761567944,0.21625299102158113,0.0,False,0.0,0.0,0.05387597200326866,0.06179840198585884,0.007922429982590184,0.09276123057018903,-0.03978223235781997,-0.07719186405066147,0.08747328756953654,-0.05779790459534451,-0.05405408699223535
Dual Momentum,2022-01-03,2022-02-01,CRM,NKE,3,11,5,6,8,0.15361578690652644,0.2402498779611888,0.08663409105466235,0.2142857142857144,-0.02706739034961303,-0.0178260033727633,-0.07679701244450132,0.12210691884048552,-0.001468386201445921,-0.05852830965292514,-0.06314980740481257,22,0.0,-0.08866046482194412,0.06314980740481257,0.025510657417131544,False,-0.05937949290796962,-0.05937949290796962,-0.08878083568096884,-0.10762248575018685,-0.018841650069218008,0.007293894614275764,-0.18626715881138156,-0.1740390019875908,0.0022682796250308446,-0.16695500003213792,-0.14803314399631728
Dual Momentum,2022-02-01,2022-03-01,HD,CVX,4,9,2,7,5,0.1273002141696149,0.291453062791835,0.16415284862222013,0.25,-0.11573209627605452,0.11913058508070673,-0.001279885269790837,0.1755408090713395,-0.1153054678527909,0.060616982056926894,0.12295565644474471,84,0.2735070497835457,-0.0051193017950659225,0.15055139333880097,0.12807495823981063,True,-0.029844147059540194,-0.029844147059540194,-0.14853700649512225,0.12002176931919073,0.268558775814313,0.014074312656087162,-0.1899477937763222,-0.1746715159449912,0.11222075553759447,-0.0024459781375834044,-0.036163921592322845
Dual Momentum,2022-02-01,2022-03-01,NKE,PG,5,11,4,7,6,0.11915169871246678,0.20990520315060923,0.09075350443814245,0.2500000000000001,-0.11159762703734466,-0.013838670038885614,-0.14008062305933078,0.11214268994808196,-0.06490408601756772,-0.05121956668824627,-0.11615795550875996,20,0.0,-0.14803314399631728,0.11615795550875996,0.03187518848755733,False,-0.017622052052972847,-0.017622052052972847,-0.08548447607869714,-0.04030148844099668,0.045182987637700456,0.0012039643864967253,-0.12421391496292111,-0.08662169674307896,0.026058784221668185,-0.06362350717349596,-0.07542355835515846
Dual Momentum,2022-03-01,2022-04-01,UNH,AXP,5,6,3,3,1,0.16734463305270597,0.22415073023128684,0.05680609717858087,0.1071428571428572,0.021049201782277427,0.09872348514152818,0.07445239233236078,0.29966876602679826,-0.0037682623285095022,-0.0011661035340712472,0.033784033558925675,82,0.09832611420611781,-0.05257450725385615,0.06454208064719213,0.08635854081278183,True,-0.019356779085572873,-0.019356779085572873,0.08770880951187543,-0.033235797376364506,-0.12094460688823994,0.11158533294359474,-0.006710704333937945,-0.05051638635004274,0.0005137211920493989,-0.2000824030393017,-0.18256527918995624
Dual Momentum,2022-04-01,2022-05-02,PG,UNH,5,6,3,3,1,0.15017426170749948,0.2718233175260609,0.12164905581856145,0.1071428571428572,-0.010106586875581192,0.051150104104837224,-0.06022489095636674,0.04192130695077978,0.009968376776541055,0.037176335121243964,-0.049692377660346954,42,0.020834601632707006,-0.10927310248572142,0.07052697929305396,0.059580724825374465,False,-0.020832492629734967,-0.020832492629734967,0.058537162461028025,0.000254492230654213,-0.05828267023037381,0.08015321267562792,-0.014721590678684393,-0.020751044374807237,0.08343792126350147,-0.012042718658796692,-0.06860686785343872
Dual Momentum,2022-04-01,2022-05-02,MSFT,TRV,4,7,4,3,3,0.14177166875461,0.22358840079357645,0.08181673203896644,0.1071428571428572,0.04186916211355718,0.058120111135512964,-0.060978607671542284,0.15528057479929358,0.06219536467073794,0.006359919535748437,0.02065215617466709,154,0.13351277239685744,-0.08680565229061599,0.11286061622219035,0.10745780846528308,True,-0.026737768167900633,-0.026737768167900633,-0.1023369956174901,-0.07016999616664032,0.032166999450849776,0.018553533775137465,-0.12725858346009644,-0.14207677039885602,0.017244126641914104,-0.07472490169363577,-0.07853933898701793
