strategy,symbol,entry_date,exit_date,entry_price,exit_price,holding_sessions,realized_return,realized_r,close_mfe,close_mae,intraday_high_mfe,intraday_low_mae,mfe_date,mae_date,sessions_entry_to_mfe,sessions_mfe_to_exit,sessions_mae_to_exit,halfway_return,max_drawdown_from_unrealized_peak,mfe_capture_ratio,profit_given_back,best_observed_exit_price,worst_observed_price,hindsight_best_exit_return,first_meaningful_loss_sessions,return_at_first_meaningful_loss,loser_delay,fraction_sessions_below_entry,loss_arrival,max_recovery_after_mae,once_meaningfully_profitable,material_recovery_after_mae,never_materially_recovered,entry_rank,exit_rank,entry_score,exit_score,removal_reason,exit_trailing_5d_return,exited_still_trending_strongly,winner_peak_early_decay,winner_pattern,first5_return,first5_close_mfe,first5_close_mae,first5_intraday_mfe,first5_intraday_mae,post_exit_5d_return,post_exit_5d_mfe,post_exit_5d_mae,post_exit_10d_return,post_exit_10d_mfe,post_exit_10d_mae,post_exit_20d_return,post_exit_20d_mfe,post_exit_20d_mae,post_exit_40d_return,post_exit_40d_mfe,post_exit_40d_mae
Dual Momentum - One-Rebalance Winner Grace v1,CSCO,2021-08-23,2021-10-01,50.30248588966139,47.47649256926738,28,-0.05617999330277301,,0.029040707403714006,-0.05911850490015402,0.041832347224669775,-0.05946423447020455,2021-09-02,2021-09-30,9,20,1,0.004321401520344992,-0.08815921230386803,,0.08522070070648702,51.7633056640625,47.328678131103516,0.029040707403714006,19.0,-0.03388086567103865,-0.02229912763173436,0.43333333333333335,gradual,0.0029385115973810105,True,False,True,3,6,0.44058736674316745,0.25112641854214846,portfolio removal,-0.040542808259962926,False,True,,0.02022471792167968,0.025929114790792518,0.011927440961211566,0.041832347224669775,-0.0019014139767609128,0.014499920111609388,0.021691020554177376,-0.023115162239036202,0.026116322516985813,0.02980401573204272,-0.023115162239036202,0.03699511944640266,0.04584581276721833,-0.023115162239036202,0.008046354292047031,0.08106369220790821,-0.058148810863149825
Dual Momentum - One-Rebalance Winner Grace v1,JPM,2021-08-23,2021-12-01,137.06416378209656,142.92347923586024,70,0.04274870463645608,,0.11256771904968788,-0.015257439107184467,0.120210524034569,-0.03115908150207236,2021-10-22,2021-09-20,44,27,51,0.07098727909251279,-0.08387314291386816,0.3797598902895653,0.0698190144132318,152.4931640625,134.97291564941406,0.11256771904968788,,,,0.027777777777777776,sudden,0.12782515815687234,True,True,False,5,16,0.3679420793852932,0.057186695523747,portfolio removal,-0.05615613542076092,False,False,volatile winner,0.04970065700156967,0.04970065700156967,0.00881990021913226,0.05472237013485359,-0.0005793879922082468,0.009751728660684744,0.014844847737098599,-0.02366424005710266,-0.011614860284479223,0.014844847737098599,-0.02366424005710266,-0.01515508648116659,0.014844847737098599,-0.056894294479000296,-0.09204322649952967,0.06104295706320073,-0.1279090924312205
Dual Momentum - One-Rebalance Winner Grace v1,AXP,2021-08-23,2021-12-01,151.7226209268031,147.26032023577594,70,-0.0294109122540136,,0.1632149634059017,-0.05303802761567944,0.17533953902376775,-0.0567687101622496,2021-10-22,2021-11-30,44,27,1,0.08754476559905311,-0.21625299102158113,,0.1926258756599153,176.48602294921875,143.67555236816406,0.1632149634059017,67.0,-0.024933959803632,-0.004476952450381599,0.18055555555555555,sudden,0.02362711536166584,True,True,False,4,15,0.41116559972464284,0.076773595130875,portfolio removal,-0.1085747291122755,False,False,,0.04602150247544645,0.04602150247544645,-0.004837801897700111,0.0475100937333619,-0.006946567926976677,0.06950688176663156,0.08366451837901301,-0.03978223235781997,0.04324174052451779,0.09276123057018903,-0.03978223235781997,0.04951973523645736,0.09276123057018903,-0.03978223235781997,0.10398124610652282,0.1509917603297788,-0.03978223235781997
Dual Momentum - One-Rebalance Winner Grace v1,GS,2021-08-23,2021-12-01,356.0390342330233,343.48596410959703,70,-0.03525756705432037,,0.0597664891365175,-0.06450006492768479,0.06554225407065095,-0.0686255469665531,2021-11-02,2021-10-04,51,20,41,-0.03354586192925013,-0.1087907811340898,,0.09502405619083787,377.31823730468744,333.0744934082031,0.0597664891365175,18.0,-0.021219226347877318,-0.014038340706443053,0.4444444444444444,sudden,0.12426655406420228,True,True,False,1,10,0.7875196376408078,0.14862370870792807,portfolio removal,-0.062386096025153104,False,False,,0.04429071620640501,0.04429071620640501,-0.001094832977602489,0.046878607042166065,-0.007191058605836798,0.0424419507067495,0.04671482599578436,-0.02029568573412177,0.013026956351729124,0.04671482599578436,-0.02029568573412177,0.006200868032744333,0.04671482599578436,-0.044734431271431285,-0.11148443068332681,0.07513941864931173,-0.15004409581988531
Dual Momentum - One-Rebalance Winner Grace v1,CRM,2021-12-01,2022-01-03,266.6468972264239,250.67321091649046,22,-0.05990576480014076,,0.0,-0.08866046482194412,0.02093929245482551,-0.09588588459742875,2021-11-30,2021-12-20,0,23,9,-0.0668732470482396,-0.08866046482194412,,0.05990576480014076,266.6468972264239,243.005859375,0.0,0.0,-0.0728452741069282,0.012939509306787444,0.9583333333333334,sudden,0.04088327229182487,False,True,False,3,11,0.3833011424158741,0.15361578690652644,portfolio removal,-0.016143926352215177,False,False,,-0.01574131686624669,-0.01574131686624669,-0.0728452741069282,0.02093929245482551,-0.0757577907446767,-0.10470166992167262,0.007293894614275764,-0.11356409557088532,-0.09325124192713907,0.007293894614275764,-0.14164138527420234,-0.08776120396375087,0.007293894614275764,-0.18626715881138156,-0.18085560806077916,0.007293894614275764,-0.2767342396075786
Dual Momentum - One-Rebalance Winner Grace v1,NKE,2022-01-03,2022-02-01,154.7607844493319,138.10504413024594,20,-0.10762248575018685,,0.0,-0.14803314399631728,0.0022682796250308446,-0.16695500003213792,2022-01-02,2022-01-20,0,21,8,-0.12284355078040154,-0.14803314399631728,,0.10762248575018685,154.7607844493319,131.85105895996094,0.0,2.0,-0.03151647365329113,-0.07610601209689571,0.9545454545454546,sudden,0.04041065824613044,False,True,False,5,11,0.2402498779611888,0.11915169871246678,portfolio removal,0.017803276306048943,False,False,,-0.0630331672079838,-0.006804577893296582,-0.0630331672079838,0.0022682796250308446,-0.06368976988801667,-0.029163681728543445,0.0012039643864967253,-0.0391970421193667,-0.05290929108254794,0.0012039643864967253,-0.06648812500719226,-0.11558482585124152,0.0012039643864967253,-0.12421391496292111,-0.06717380425156183,0.0012039643864967253,-0.21728140899882398
Dual Momentum - One-Rebalance Winner Grace v1,HD,2021-10-01,2022-03-01,291.2229749978899,280.343627851881,103,-0.03735744800384544,,0.2735070497835457,-0.0561457598017,0.2870626652407984,-0.08417543804291083,2021-12-07,2022-02-23,47,57,4,0.23072849027832576,-0.3296528095852457,,0.3108644977873911,370.87451171875,274.8720397949219,0.2735070497835457,98.0,-0.03252249082051861,-0.004834957183326827,0.06666666666666667,sudden,0.025091811563877187,True,True,False,5,12,0.25815172873362213,0.00473480577393337,portfolio removal,-0.0010757720684642091,False,False,,0.02843261026322952,0.02843261026322952,-0.0051193017950659225,0.03373503600791539,-0.01215876016904327,0.0260019814959076,0.052767111947003675,-0.002638312031302492,0.018090635249848885,0.052767111947003675,-0.012640946233746786,0.005043380094534422,0.08966047296279878,-0.014080163575784232,-0.04075079167394202,0.08966047296279878,-0.06112158533991141
Dual Momentum - One-Rebalance Winner Grace v1,AXP,2022-03-01,2022-04-01,184.10711045459254,177.98816383597574,23,-0.033235797376364506,,0.0,-0.18256527918995624,0.0005137211920493989,-0.2000824030393017,2022-02-28,2022-03-07,0,24,19,-0.072224791342262,-0.18256527918995624,,0.033235797376364506,184.10711045459254,150.49554443359375,0.0,0.0,-0.08532388537825175,0.052088088001887245,0.96,sudden,0.16540791918714248,False,True,False,3,8,0.22415073023128684,0.12576575148497748,portfolio removal,-0.017237977393241843,False,False,,-0.18256527918995624,-0.07376594410880422,-0.18256527918995624,0.0005137211920493989,-0.18282213980328554,-0.02812050106453501,0.014027788814872544,-0.04559823329108004,-0.03467467251203238,0.014027788814872544,-0.07282704645164007,-0.06904377987110832,0.025325166220973028,-0.07282704645164007,-0.09627292792232012,0.025325166220973028,-0.20225829466084144
Dual Momentum - One-Rebalance Winner Grace v1,MSFT,2021-08-23,2022-05-02,291.58513292551737,268.06926895596354,174,-0.08064836411107679,,0.13351277239685744,-0.10544377960373363,0.15518462897995433,-0.10617208786953813,2021-11-19,2022-04-26,64,111,4,0.13133247540735904,-0.23895655200059107,,0.21416113650793422,330.5154724121094,260.83929443359375,0.13351277239685744,13.0,-0.02486384602209568,-0.055784518088981105,0.5056818181818182,sudden,0.06425638326174021,True,True,False,2,16,0.4513490224703516,-0.020266389513354355,portfolio removal,-0.011399433356296895,False,False,,-0.011640248492710281,0.0046166327996186585,-0.01371797774748773,0.00791416471888895,-0.021170390452368126,-0.010730509855639503,0.047423835367535805,-0.023189629849444282,-0.059738581666946455,0.047423835367535805,-0.09970842631375354,-0.013804133680577868,0.047423835367535805,-0.11053267545234058,-0.07429546173180268,0.047423835367535805,-0.12832637817670367
Dual Momentum - One-Rebalance Winner Grace v1,AAPL,2021-12-01,2022-05-02,163.59356203535145,153.26853978592672,104,-0.06311386659087215,,0.08675656145140098,-0.09952290281727694,0.09230960341376138,-0.10263164144944759,2022-01-03,2022-03-14,23,82,34,0.03301972574199041,-0.18627946426867792,,0.14987042804227313,177.786376953125,147.312255859375,0.08675656145140098,1.0,-0.022211616072101648,-0.0409022505187705,0.4056603773584906,sudden,0.1694299642500473,True,True,False,4,9,0.36056740619792427,0.08541131763279664,portfolio removal,-0.03210951483814828,False,True,,0.022092100065632447,0.022092100065632447,-0.03367546565133761,0.02448049949928155,-0.05779790459534451,0.005111596349149483,0.062344494897525804,-0.02195138979023381,-0.059880393728561354,0.062344494897525804,-0.11298636396063255,-0.04371251382828234,0.062344494897525804,-0.1525443039603127,-0.12167773418730643,0.062344494897525804,-0.17535863298195986
