strategy,state,n,observationShare,calendarYears,meanDailyReturn,annualizedMeanReturn,meanDailyActiveReturn,annualizedMeanActiveReturn,positiveReturnRate,positiveActiveReturnRate,worstDay,stateAttributedMaximumDrawdown,stateAttributedCumulativeReturn
dm_optimized_63d_daily,bullish_persistence,181,0.724,"[2025, 2026]",0.0018409916314295965,0.4639298911202583,0.0013666798918722483,0.34440333275180657,0.5248618784530387,0.5303867403314917,-0.05876670194782867,-0.13628954896283008,0.35904066866282425
dm_optimized_63d_daily,pullback,57,0.228,"[2025, 2026]",0.004137299996132901,1.042599599025491,0.0027584358273969696,0.6951258285040364,0.6140350877192983,0.6140350877192983,-0.05598927788028583,-0.10872327043566254,0.25060413801969394
dm_optimized_63d_daily,bearish_persistence,12,0.048,[2026],0.0030837708259781747,0.7771102481465,-0.0004663249282823246,-0.1175138819271458,0.5833333333333334,0.5,-0.028330585035776946,-0.069498099121314,0.035358493107786826
dm_optimized_63d_daily,rebound,0,0.0,[],,,,,,,,,
canonical_dm_189d_monthly,bullish_persistence,736,0.5869218500797448,"[2021, 2022, 2023, 2024, 2025, 2026]",0.0004606549741199388,0.11608505347822458,-4.762116179266557e-05,-0.012000532771751725,0.5149456521739131,0.49320652173913043,-0.05835210395449186,-0.2498910258436995,0.3383535434856213
canonical_dm_189d_monthly,pullback,244,0.19457735247208932,"[2021, 2022, 2023, 2024, 2025, 2026]",0.0008782906871471672,0.22132925316108612,0.0003239281224946685,0.08162988686865646,0.5532786885245902,0.5368852459016393,-0.042222661362513736,-0.12501648818661315,0.2104254575509048
canonical_dm_189d_monthly,bearish_persistence,191,0.15231259968102073,"[2022, 2023, 2025, 2026]",0.0017922252933179666,0.4516407739161276,0.0011483108689546518,0.2893743389765722,0.5654450261780105,0.5602094240837696,-0.06591618992937509,-0.12625112577164477,0.3746098091134267
canonical_dm_189d_monthly,rebound,83,0.06618819776714513,"[2022, 2023, 2025]",0.000806115330825919,0.2031410633681316,7.124210282432817e-05,0.0179530099117307,0.5903614457831325,0.6144578313253012,-0.022110950634464333,-0.054417708192606606,0.06513490925244114
canonical_mrm,bullish_persistence,735,0.5865921787709497,"[2021, 2022, 2023, 2024, 2025, 2026]",0.0005623584028145582,0.14171431750926866,5.069724964717051e-05,0.012775706911086968,0.5523809523809524,0.5006802721088436,-0.02800246885542801,-0.08737931627362017,0.48265280827362056
canonical_mrm,pullback,244,0.19473264166001597,"[2021, 2022, 2023, 2024, 2025, 2026]",0.00048815606349974925,0.1230153280019368,-6.620650115274942e-05,-0.016684038290492854,0.569672131147541,0.46311475409836067,-0.023746300429637213,-0.07760153484353816,0.11782469346917424
canonical_mrm,bearish_persistence,191,0.1524341580207502,"[2022, 2023, 2025, 2026]",0.00021997845018820663,0.05543456944742807,-0.0004239359741751083,-0.1068318654921273,0.518324607329843,0.4869109947643979,-0.04921655497942434,-0.15358874774845344,0.024869268206202833
canonical_mrm,rebound,83,0.06624102154828412,"[2022, 2023, 2025]",0.0004876774396564735,0.12289471479343132,-0.00024719578834511734,-0.06229333866296957,0.4819277108433735,0.46987951807228917,-0.03115721540685268,-0.09039552670799389,0.03438416970072966
fixed_50_50_dm_mrm,bullish_persistence,735,0.5865921787709497,"[2021, 2022, 2023, 2024, 2025, 2026]",0.0005199909254856101,0.13103771322237376,8.329772318222494e-06,0.0020991026241920685,0.5374149659863946,0.507482993197279,-0.026485828254436017,-0.14731688184848502,0.4342493522377402
fixed_50_50_dm_mrm,pullback,244,0.19473264166001597,"[2021, 2022, 2023, 2024, 2025, 2026]",0.0006684619214154043,0.1684524041966819,0.00011409935676290567,0.028753037904252227,0.5778688524590164,0.5122950819672131,-0.021536707454145265,-0.09209292478414055,0.16545670965771686
fixed_50_50_dm_mrm,bearish_persistence,191,0.1524341580207502,"[2022, 2023, 2025, 2026]",0.0009981145091843631,0.2515248563144595,0.00035420008482104807,0.08925842137490411,0.5549738219895288,0.5549738219895288,-0.05745076704746366,-0.10971565936719807,0.18838810964498065
fixed_50_50_dm_mrm,rebound,83,0.06624102154828412,"[2022, 2023, 2025]",0.0006468014309366953,0.1629939605960472,-8.807179706489548e-05,-0.022194092860353662,0.5421686746987951,0.5060240963855421,-0.025718549657806844,-0.07097589844997654,0.05068602133228217
vol_scaled_dm_mrm,bullish_persistence,735,0.5865921787709497,"[2021, 2022, 2023, 2024, 2025, 2026]",0.000518067794253953,0.13055308415199615,6.406641086565234e-06,0.0016144735538144391,0.5428571428571428,0.5047619047619047,-0.02633820895940875,-0.133915163823782,0.43615118502069317
vol_scaled_dm_mrm,pullback,244,0.19473264166001597,"[2021, 2022, 2023, 2024, 2025, 2026]",0.0006647108819543861,0.16750714225250532,0.0001103483173018875,0.02780777596007565,0.5737704918032787,0.47540983606557374,-0.02164893777344168,-0.08894587275977461,0.1658208379274071
vol_scaled_dm_mrm,bearish_persistence,191,0.1524341580207502,"[2022, 2023, 2025, 2026]",0.0008810114064557454,0.22201487442684784,0.00023709698209243042,0.059748439487292464,0.5497382198952879,0.5497382198952879,-0.05533443964625251,-0.10730494935328938,0.16340512194713952
vol_scaled_dm_mrm,rebound,83,0.06624102154828412,"[2022, 2023, 2025]",0.0006707765101662226,0.1690356805618881,-6.409671783536822e-05,-0.016152372894512792,0.5421686746987951,0.5301204819277109,-0.025333560723960202,-0.07025744583079063,0.05288792735991721
