scale,paths,breachProbability1m,breachProbability3m,breachProbability6m,breachProbability12m,dailyLimitBreachProbability,drawdownBreachProbability,expectedPayout,medianPayout,expectedNetPayout,medianNetPayout,p05NetPayout,probabilityAnyPayout,medianDaysToFirstPayout,medianDrawdownUtilization,p95DrawdownUtilization,expectedResets,expectedFees,candidate,label,drawdownRule
0.1,5000,0.0,0.0,0.0,0.0,0.0,0.0,124.34316439260594,0.0,-375.6568356073941,-500.0,-500.0,0.135,229.0,0.10268068537747604,0.2800875559824437,0.0,500.0,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.15,5000,0.0,0.0,0.0,0.0,0.0,0.0,1419.379317760302,818.3632056191216,919.3793177603019,318.3632056191215,-500.0,0.5982,195.0,0.22941693668238683,0.4788162208194219,0.0,500.0,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.2,5000,0.0,0.0004,0.0018,0.006,0.0,0.006,3461.2058015843736,3267.6943216931077,2958.2058015843736,2765.4430532424767,-500.0,0.8116,163.0,0.36678108174647905,0.6993236404497148,0.006,503.0,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.25,5000,0.0,0.0042,0.0082,0.0288,0.0,0.0288,5730.755273713146,5690.7205075001875,5216.255273713146,5182.5497686524295,-500.0,0.8976,138.0,0.499209948512158,0.9122086691893632,0.029,514.5,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.3,5000,0.0,0.0118,0.027,0.0922,0.0,0.0922,8065.398971142739,8073.027304864843,7518.498971142739,7554.16616523387,-500.0,0.9378,120.0,0.622515085669489,1.0352068627651558,0.0938,546.9,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.35,5000,0.0,0.0292,0.0724,0.1908,0.0,0.1908,10391.013799849161,10400.645140255565,9789.813799849162,9837.995054995095,-248.14735995933506,0.9548,107.0,0.7530801295143417,1.0730333791897984,0.2024,601.2,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.4,5000,0.0838,0.2466,0.4426,0.6972,0.656,0.1166,11251.971363002118,11074.079148535384,10184.671363002119,10027.017709593998,-1500.0,0.946,96.0,0.7151033094062793,1.0668347092496648,1.1346,1067.3,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.45,5000,0.1832,0.454,0.712,0.9152,0.8912,0.1996,11011.02215698207,10339.811911702116,9394.12215698207,8673.055999851373,-2000.0,0.9408,93.0,0.7910901215852779,1.1121483183411207,2.2338,1616.9,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.5,5000,0.2644,0.5888,0.8366,0.9734,0.9612,0.267,11483.997530894152,10610.035214131478,9325.197530894151,8479.130550174143,-2856.602740461384,0.9364,89.5,0.8723710522908853,1.1416199392505022,3.3176,2158.8,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.55,5000,0.354,0.7148,0.9244,0.9934,0.9882,0.3118,10963.67005310627,9776.154283724318,7265.6700531062725,6099.733963956585,-5000.0,0.9066,91.0,0.9056198703692523,1.14913193105333,6.396,3698.0,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.6,5000,0.4486,0.828,0.9726,0.9992,0.9978,0.4248,9581.933743938049,8234.315367947782,5295.333743938049,3915.0867995400567,-6000.0,0.8688,96.0,0.9946428468844897,1.1871626289471484,7.5732,4286.6,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
0.65,5000,0.5666,0.9096,0.993,1.0,0.9998,0.4884,8982.610334296975,7701.110775615292,3124.5103342969733,1781.3915453266122,-8000.0,0.8456,98.0,1.0070248634639258,1.236824597585522,10.7162,5858.1,dm_optimized_63d_daily,DM Optimized 63D/Daily,static
