operatingPoint,scale,drawdownRule,structure,accounts,aggregateEffectiveExposure,expectedCapitalCommitted,upfrontCapitalCommitted,expectedNetProfit,medianNetProfit,p05NetProfit,p01NetProfit,probabilityAnnualLoss,probabilityTarget35000,expectedReturnOnCommittedCapital,expectedFees,breachProbabilityAtLeastOne,dependence
020_trailing,0.2,trailing_to_breakeven,prop,1,20000.0,518.8,500.0,2949.030825899602,2766.168059732421,-500.0,-1000.0,0.2184,0.0,5.684330813222055,518.8,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,1,20000.0,20000.0,20000.0,12267.14299983857,12504.92296627664,4528.6322461566315,1288.3991720838635,0.0032,0.0,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,2,40000.0,1037.6,1000.0,5898.061651799204,5532.336119464842,-1000.0,-2000.0,0.2184,0.0,5.684330813222055,1037.6,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,2,40000.0,40000.0,40000.0,24534.28599967714,25009.84593255328,9057.264492313263,2576.798344167727,0.0032,0.1176,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,3,60000.0,1556.4,1500.0,8847.092477698807,8298.504179197264,-1500.0,-3000.0,0.2184,0.0012,5.684330813222055,1556.4,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,3,60000.0,60000.0,60000.0,36801.42899951571,37514.76889882992,13585.896738469894,3865.1975162515905,0.0032,0.5736,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,4,80000.0,2075.2,2000.0,11796.123303598408,11064.672238929685,-2000.0,-4000.0,0.2184,0.028,5.684330813222055,2075.2,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,4,80000.0,80000.0,80000.0,49068.57199935428,50019.69186510656,18114.528984626526,5153.596688335454,0.0032,0.7928,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,5,100000.0,2594.0,2500.0,14745.154129498007,13830.840298662108,-2500.0,-5000.0,0.2184,0.088,5.684330813222053,2594.0,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,5,100000.0,100000.0,100000.0,61335.714999192845,62524.614831383195,22643.161230783156,6441.995860419318,0.0032,0.8774,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,6,120000.0,3112.8,3000.0,17694.184955397614,16597.008358394527,-3000.0,-6000.0,0.2184,0.1696,5.684330813222055,3112.8,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,6,120000.0,120000.0,120000.0,73602.85799903142,75029.53779765984,27171.793476939787,7730.395032503181,0.0032,0.9188,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,7,140000.0,3631.6,3500.0,20643.215781297215,19363.17641812695,-3500.0,-7000.0,0.2184,0.2484,5.684330813222055,3631.6,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,7,140000.0,140000.0,140000.0,85870.00099886999,87534.46076393647,31700.425723096418,9018.794204587044,0.0032,0.94,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,8,160000.0,4150.4,4000.0,23592.246607196816,22129.34447785937,-4000.0,-8000.0,0.2184,0.3138,5.684330813222055,4150.4,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,8,160000.0,160000.0,160000.0,98137.14399870856,100039.38373021311,36229.05796925305,10307.193376670908,0.0032,0.9532,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,9,180000.0,4669.2,4500.0,26541.277433096413,24895.512537591792,-4500.0,-9000.0,0.2184,0.3668,5.684330813222054,4669.2,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,9,180000.0,180000.0,180000.0,110404.28699854712,112544.30669648976,40757.690215409675,11595.592548754772,0.0032,0.9608,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
020_trailing,0.2,trailing_to_breakeven,prop,10,200000.0,5188.0,5000.0,29490.308258996014,27661.680597324215,-5000.0,-10000.0,0.2184,0.413,5.684330813222053,5188.0,0.0374,perfectly_correlated_identical_paths
020_trailing,0.2,none,self_funded_a,10,200000.0,200000.0,200000.0,122671.42999838569,125049.22966276639,45286.32246156631,12883.991720838636,0.0032,0.966,0.6133571499919285,0.0,,perfectly_correlated_identical_paths
025_static,0.25,static,prop,1,25000.0,514.5,500.0,5216.255273713146,5182.5497686524295,-500.0,-500.0,0.1186,0.0,10.1384942151859,514.5,0.0288,perfectly_correlated_identical_paths
