strategy,symbol,entry_date,exit_date,entry_price,exit_price,holding_sessions,realized_return,realized_r,close_mfe,close_mae,intraday_high_mfe,intraday_low_mae,mfe_date,mae_date,sessions_entry_to_mfe,sessions_mfe_to_exit,sessions_mae_to_exit,halfway_return,max_drawdown_from_unrealized_peak,mfe_capture_ratio,profit_given_back,best_observed_exit_price,worst_observed_price,hindsight_best_exit_return,first_meaningful_loss_sessions,return_at_first_meaningful_loss,loser_delay,fraction_sessions_below_entry,loss_arrival,max_recovery_after_mae,once_meaningfully_profitable,material_recovery_after_mae,never_materially_recovered,entry_rank,exit_rank,entry_score,exit_score,removal_reason,exit_trailing_5d_return,exited_still_trending_strongly,winner_peak_early_decay,winner_pattern,first5_return,first5_close_mfe,first5_close_mae,first5_intraday_mfe,first5_intraday_mae,post_exit_5d_return,post_exit_5d_mfe,post_exit_5d_mae,post_exit_10d_return,post_exit_10d_mfe,post_exit_10d_mae,post_exit_20d_return,post_exit_20d_mfe,post_exit_20d_mae,post_exit_40d_return,post_exit_40d_mfe,post_exit_40d_mae,exit_rank_bucket,prior_rebalance_rank,rank_deterioration,large_winner,large_loser
Dual Momentum,CSCO,2021-08-23,2021-10-01,50.30248588966139,47.47649256926738,28,-0.05617999330277301,,0.029040707403714006,-0.05911850490015402,0.041832347224669775,-0.05946423447020455,2021-09-02,2021-09-30,9,20,1,0.004321401520344992,-0.08815921230386803,,0.08522070070648702,51.7633056640625,47.328678131103516,0.029040707403714006,19.0,-0.03388086567103865,-0.02229912763173436,0.43333333333333335,gradual,0.0029385115973810105,True,False,True,3,6,0.44058736674316745,0.25112641854214846,fell below top-N,-0.040542808259962926,False,True,,0.02022471792167968,0.025929114790792518,0.011927440961211566,0.041832347224669775,-0.0019014139767609128,0.014499920111609388,0.021691020554177376,-0.023115162239036202,0.026116322516985813,0.02980401573204272,-0.023115162239036202,0.03699511944640266,0.04584581276721833,-0.023115162239036202,0.008046354292047031,0.08106369220790821,-0.058148810863149825,just outside boundary,4,2,False,False
Dual Momentum,JPM,2021-08-23,2021-11-01,137.06416378209656,152.72398133578608,49,0.11425172796140481,,0.11425172796140481,-0.015257439107184467,0.120210524034569,-0.03115908150207236,2021-11-01,2021-09-20,50,0,30,0.07500180175984972,-0.06495809610875414,1.0,0.0,152.72398133578608,134.97291564941406,0.11425172796140481,,,,0.0392156862745098,sudden,0.12950916706858928,True,True,False,5,7,0.3679420793852932,0.3339841406542814,fell below top-N,-0.006142932199086459,False,False,late acceleration,0.04970065700156967,0.04970065700156967,0.00881990021913226,0.05472237013485359,-0.0005793879922082468,-0.02319229923968602,0.001685704232965879,-0.03226005385088282,-0.030109330050010152,0.001685704232965879,-0.03673569207640526,-0.06283414330997028,0.001685704232965879,-0.07684257779661596,-0.07788901610856158,0.001685704232965879,-0.11741464869297735,just outside boundary,3,4,False,False
Dual Momentum,GS,2021-08-23,2021-12-01,356.0390342330233,343.48596410959703,70,-0.03525756705432037,,0.0597664891365175,-0.06450006492768479,0.06554225407065095,-0.0686255469665531,2021-11-02,2021-10-04,51,20,41,-0.03354586192925013,-0.1087907811340898,,0.09502405619083787,377.31823730468744,333.0744934082031,0.0597664891365175,18.0,-0.021219226347877318,-0.014038340706443053,0.4444444444444444,sudden,0.12426655406420228,True,True,False,1,10,0.7875196376408078,0.14862370870792807,fell below top-N,-0.062386096025153104,False,False,,0.04429071620640501,0.04429071620640501,-0.001094832977602489,0.046878607042166065,-0.007191058605836798,0.0424419507067495,0.04671482599578436,-0.02029568573412177,0.013026956351729124,0.04671482599578436,-0.02029568573412177,0.006200868032744333,0.04671482599578436,-0.044734431271431285,-0.11148443068332681,0.07513941864931173,-0.15004409581988531,just outside boundary,1,9,False,False
Dual Momentum,AXP,2021-08-23,2021-12-01,151.7226209268031,147.26032023577594,70,-0.0294109122540136,,0.1632149634059017,-0.05303802761567944,0.17533953902376775,-0.0567687101622496,2021-10-22,2021-11-30,44,27,1,0.08754476559905311,-0.21625299102158113,,0.1926258756599153,176.48602294921875,143.67555236816406,0.1632149634059017,67.0,-0.024933959803632,-0.004476952450381599,0.18055555555555555,sudden,0.02362711536166584,True,True,False,4,15,0.41116559972464284,0.076773595130875,fell below top-N,-0.1085747291122755,False,False,,0.04602150247544645,0.04602150247544645,-0.004837801897700111,0.0475100937333619,-0.006946567926976677,0.06950688176663156,0.08366451837901301,-0.03978223235781997,0.04324174052451779,0.09276123057018903,-0.03978223235781997,0.04951973523645736,0.09276123057018903,-0.03978223235781997,0.10398124610652282,0.1509917603297788,-0.03978223235781997,moderate deterioration,2,13,False,False
Dual Momentum,CRM,2021-12-01,2022-01-03,266.6468972264239,250.67321091649046,22,-0.05990576480014076,,0.0,-0.08866046482194412,0.02093929245482551,-0.09588588459742875,2021-11-30,2021-12-20,0,23,9,-0.0668732470482396,-0.08866046482194412,,0.05990576480014076,266.6468972264239,243.005859375,0.0,0.0,-0.0728452741069282,0.012939509306787444,0.9583333333333334,sudden,0.04088327229182487,False,True,False,3,11,0.3833011424158741,0.15361578690652644,fell below top-N,-0.016143926352215177,False,False,,-0.01574131686624669,-0.01574131686624669,-0.0728452741069282,0.02093929245482551,-0.0757577907446767,-0.10470166992167262,0.007293894614275764,-0.11356409557088532,-0.09325124192713907,0.007293894614275764,-0.14164138527420234,-0.08776120396375087,0.007293894614275764,-0.18626715881138156,-0.18085560806077916,0.007293894614275764,-0.2767342396075786,moderate deterioration,3,8,False,False
Dual Momentum,HD,2021-10-01,2022-02-01,291.2229749978899,329.2493390674589,84,0.13057473940661635,,0.2735070497835457,-0.0051193017950659225,0.2870626652407984,-0.01215876016904327,2021-12-07,2021-10-04,47,38,83,0.22528165808456513,-0.20526408813946184,0.4774090448855106,0.14293231037692933,370.87451171875,289.73211669921875,0.2735070497835457,,,,0.011627906976744186,sudden,0.2786263515786116,True,True,False,5,9,0.25815172873362213,0.1273002141696149,fell below top-N,0.02228527104480227,True,False,volatile winner,0.02843261026322952,0.02843261026322952,-0.0051193017950659225,0.03373503600791539,-0.01215876016904327,-0.03280355123610357,0.014074312656087162,-0.041193986925279535,-0.04847455602342943,0.014074312656087162,-0.061276711658414085,-0.13321775376144052,0.014074312656087162,-0.1899477937763222,-0.13490319872602796,0.014074312656087162,-0.1899477937763222,just outside boundary,4,5,False,False
Dual Momentum,NKE,2022-01-03,2022-02-01,154.7607844493319,138.10504413024594,20,-0.10762248575018685,,0.0,-0.14803314399631728,0.0022682796250308446,-0.16695500003213792,2022-01-02,2022-01-20,0,21,8,-0.12284355078040154,-0.14803314399631728,,0.10762248575018685,154.7607844493319,131.85105895996094,0.0,2.0,-0.03151647365329113,-0.07610601209689571,0.9545454545454546,sudden,0.04041065824613044,False,True,False,5,11,0.2402498779611888,0.11915169871246678,fell below top-N,0.017803276306048943,False,False,,-0.0630331672079838,-0.006804577893296582,-0.0630331672079838,0.0022682796250308446,-0.06368976988801667,-0.029163681728543445,0.0012039643864967253,-0.0391970421193667,-0.05290929108254794,0.0012039643864967253,-0.06648812500719226,-0.11558482585124152,0.0012039643864967253,-0.12421391496292111,-0.06717380425156183,0.0012039643864967253,-0.21728140899882398,moderate deterioration,5,6,False,True
Dual Momentum,UNH,2021-11-01,2022-03-01,424.51495356824404,434.2640689988462,82,0.022965305105641987,,0.09832611420611781,-0.05257450725385615,0.10625545776742884,-0.05590928727913891,2021-12-29,2021-11-22,41,42,67,0.09582785857086717,-0.107946828113895,0.2335626226162113,0.07536080910047582,466.255859375,402.1962890625,0.09832611420611781,1.0,-0.021176943423587447,0.04414224852922943,0.3333333333333333,sudden,0.15090062145997396,True,True,False,4,6,0.39349208674350944,0.16734463305270597,fell below top-N,0.028886092494050386,True,False,recovery winner,-0.01301368897317079,-0.009722507473025721,-0.021176943423587447,0.008531467625741529,-0.032003866531613245,0.03393571147969787,0.061819091183503705,-0.006710704333937945,0.03923171887897081,0.061819091183503705,-0.006710704333937945,0.09307619420287261,0.10146809360147402,-0.006710704333937945,0.09431175591957364,0.17846497151754437,-0.006710704333937945,just outside boundary,5,1,False,False
Dual Momentum,PG,2022-02-01,2022-04-01,143.05235236357854,136.58434279124958,42,-0.04521428320095011,,0.020834601632707006,-0.10927310248572142,0.026058784221668185,-0.11045478300318723,2022-02-03,2022-03-11,3,40,15,-0.03998995271604078,-0.13010770411842842,,0.06604888483365712,146.0327911376953,127.42057800292969,0.020834601632707006,7.0,-0.02251393991439854,-0.022700343286551572,0.9090909090909091,sudden,0.07612437214688583,True,True,False,4,6,0.20990520315060923,0.15017426170749948,fell below top-N,-0.00019649959151424312,False,True,,-0.002923064925986596,0.020834601632707006,-0.006530181210345876,0.026058784221668185,-0.01903101987913114,0.034783694574009205,0.0382360053687556,-0.014721590678684393,0.03289467231139054,0.05009104015746213,-0.014721590678684393,0.05165921334520385,0.08015321267562792,-0.014721590678684393,-0.025831587833547887,0.08015321267562792,-0.08832202385043952,just outside boundary,5,1,False,False
Dual Momentum,MSFT,2021-08-23,2022-04-01,291.58513292551737,298.6301848769681,154,0.024161217963229564,,0.13351277239685744,-0.08680565229061599,0.15518462897995433,-0.10617194697828447,2021-11-19,2022-03-08,64,91,18,0.1316297125161423,-0.22031842468747342,0.18096559250085845,0.10935155443362787,330.5154724121094,266.2738952636719,0.13351277239685744,13.0,-0.02486384602209568,0.049025063985325246,0.4551282051282051,sudden,0.130962042164237,True,True,False,2,7,0.4513490224703516,0.14177166875461,fell below top-N,0.015246521927201329,False,False,recovery winner,-0.011640248492710281,0.0046166327996186585,-0.01371797774748773,0.00791416471888895,-0.021170390452368126,-0.025859030060644494,0.018553533775137465,-0.04208551924700721,-0.09548470400055631,0.018553533775137465,-0.0971331478866142,-0.10295135324976656,0.018553533775137465,-0.12725858346009644,-0.11472845573009549,0.018553533775137465,-0.2015580891464751,just outside boundary,4,3,False,False
