strategy,rebalance_date,next_rebalance_date,group,symbol,next_period_return
Dual Momentum,2021-08-23,2021-09-01,new,JPM,0.03148136222976072
Dual Momentum,2021-08-23,2021-09-01,new,AXP,0.031693901427512605
Dual Momentum,2021-08-23,2021-09-01,new,CSCO,0.020224720829344456
Dual Momentum,2021-08-23,2021-09-01,new,GS,0.03303779552744657
Dual Momentum,2021-08-23,2021-09-01,new,MSFT,-0.0012528456041481784
Dual Momentum,2021-08-23,2021-09-01,universe_median,__UNIVERSE_MEDIAN__,0.002578613158768839
Dual Momentum,2021-09-01,2021-10-01,retained,JPM,0.023592987952839817
Dual Momentum,2021-09-01,2021-10-01,retained,CSCO,-0.07489008310836431
Dual Momentum,2021-09-01,2021-10-01,retained,GS,-0.08161472489660582
Dual Momentum,2021-09-01,2021-10-01,retained,MSFT,-0.06851150130095363
Dual Momentum,2021-09-01,2021-10-01,retained,AXP,0.012985742261128363
Dual Momentum,2021-09-01,2021-10-01,universe_median,__UNIVERSE_MEDIAN__,-0.05302557129856533
Dual Momentum,2021-10-01,2021-11-01,new,HD,0.1366756589734266
Dual Momentum,2021-10-01,2021-11-01,retained,MSFT,0.1745359338462984
Dual Momentum,2021-10-01,2021-11-01,retained,GS,0.0991723088135883
Dual Momentum,2021-10-01,2021-11-01,retained,JPM,0.055345418212627395
Dual Momentum,2021-10-01,2021-11-01,retained,AXP,0.03865864124141094
Dual Momentum,2021-10-01,2021-11-01,outgoing,CSCO,0.03017283770135637
Dual Momentum,2021-10-01,2021-11-01,universe_median,__UNIVERSE_MEDIAN__,0.03865864124141094
Dual Momentum,2021-11-01,2021-12-01,new,UNH,-0.01933656732419531
Dual Momentum,2021-11-01,2021-12-01,retained,HD,0.08242061078741214
Dual Momentum,2021-11-01,2021-12-01,retained,GS,-0.07486634777150791
Dual Momentum,2021-11-01,2021-12-01,retained,MSFT,0.013227639835240446
Dual Momentum,2021-11-01,2021-12-01,retained,AXP,-0.10585414096646961
Dual Momentum,2021-11-01,2021-12-01,outgoing,JPM,-0.0641713371679199
Dual Momentum,2021-11-01,2021-12-01,universe_median,__UNIVERSE_MEDIAN__,-0.029903393436745196
Dual Momentum,2021-12-01,2022-01-03,new,CRM,-0.05990576480014076
Dual Momentum,2021-12-01,2022-01-03,new,AAPL,0.06179840198585884
Dual Momentum,2021-12-01,2022-01-03,retained,HD,0.03603755734048586
Dual Momentum,2021-12-01,2022-01-03,retained,UNH,0.10762165711702809
Dual Momentum,2021-12-01,2022-01-03,retained,MSFT,0.0006566685148512441
Dual Momentum,2021-12-01,2022-01-03,outgoing,GS,0.013496064507240169
Dual Momentum,2021-12-01,2022-01-03,outgoing,AXP,0.05387597200326866
Dual Momentum,2021-12-01,2022-01-03,universe_median,__UNIVERSE_MEDIAN__,0.03631612395572015
Dual Momentum,2022-01-03,2022-02-01,new,NKE,-0.10762248575018685
Dual Momentum,2022-01-03,2022-02-01,retained,HD,-0.11306628264156415
Dual Momentum,2022-01-03,2022-02-01,retained,UNH,-0.0499999724297312
Dual Momentum,2022-01-03,2022-02-01,retained,MSFT,-0.07437034174653734
Dual Momentum,2022-01-03,2022-02-01,retained,AAPL,-0.021481041560488245
Dual Momentum,2022-01-03,2022-02-01,outgoing,CRM,-0.08878083568096884
Dual Momentum,2022-01-03,2022-02-01,universe_median,__UNIVERSE_MEDIAN__,-0.021481041560488245
Dual Momentum,2022-02-01,2022-03-01,new,PG,-0.04030148844099668
Dual Momentum,2022-02-01,2022-03-01,new,CVX,0.12002176931919073
Dual Momentum,2022-02-01,2022-03-01,retained,UNH,-0.008652612967056328
Dual Momentum,2022-02-01,2022-03-01,retained,MSFT,-0.04315935211401811
Dual Momentum,2022-02-01,2022-03-01,retained,AAPL,-0.05229690559952238
Dual Momentum,2022-02-01,2022-03-01,outgoing,HD,-0.14853700649512225
Dual Momentum,2022-02-01,2022-03-01,outgoing,NKE,-0.08548447607869714
Dual Momentum,2022-02-01,2022-03-01,universe_median,__UNIVERSE_MEDIAN__,-0.04315935211401811
Dual Momentum,2022-03-01,2022-04-01,new,AXP,-0.033235797376364506
Dual Momentum,2022-03-01,2022-04-01,retained,PG,-0.005119102198015035
Dual Momentum,2022-03-01,2022-04-01,retained,CVX,0.12254340759866822
Dual Momentum,2022-03-01,2022-04-01,retained,MSFT,0.04375835774986436
Dual Momentum,2022-03-01,2022-04-01,retained,AAPL,0.05664844721508788
Dual Momentum,2022-03-01,2022-04-01,outgoing,UNH,0.08770880951187543
Dual Momentum,2022-03-01,2022-04-01,universe_median,__UNIVERSE_MEDIAN__,0.04009693840497741
Dual Momentum,2022-04-01,2022-05-02,new,KO,0.047328683098724955
Dual Momentum,2022-04-01,2022-05-02,new,UNH,0.000254492230654213
Dual Momentum,2022-04-01,2022-05-02,new,TRV,-0.07016999616664032
Dual Momentum,2022-04-01,2022-05-02,retained,CVX,-0.03974683103673027
Dual Momentum,2022-04-01,2022-05-02,retained,AAPL,-0.09952288181726876
Dual Momentum,2022-04-01,2022-05-02,outgoing,PG,0.058537162461028025
Dual Momentum,2022-04-01,2022-05-02,outgoing,MSFT,-0.1023369956174901
Dual Momentum,2022-04-01,2022-05-02,outgoing,AXP,-0.06936377864681265
Dual Momentum,2022-04-01,2022-05-02,universe_median,__UNIVERSE_MEDIAN__,-0.05069927785664019
Dual Momentum,2022-05-02,2022-06-01,new,MRK,0.03325076734323429
Dual Momentum,2022-05-02,2022-06-01,retained,KO,-0.028492624359373386
Dual Momentum,2022-05-02,2022-06-01,retained,TRV,0.03825750380727433
Dual Momentum,2022-05-02,2022-06-01,retained,UNH,-0.02445120012439561
Dual Momentum,2022-05-02,2022-06-01,retained,CVX,0.13993908736153338
Dual Momentum,2022-05-02,2022-06-01,outgoing,AAPL,-0.042050985920415895
Dual Momentum,2022-05-02,2022-06-01,universe_median,__UNIVERSE_MEDIAN__,0.0054823047382996926
Dual Momentum,2022-06-01,2022-07-01,new,AMGN,-0.05673168931219308
Dual Momentum,2022-06-01,2022-07-01,retained,KO,0.0024603387085344597
Dual Momentum,2022-06-01,2022-07-01,retained,UNH,0.03176071339100783
Dual Momentum,2022-06-01,2022-07-01,retained,CVX,-0.17048597743412963
Dual Momentum,2022-06-01,2022-07-01,retained,MRK,0.004114726459919726
Dual Momentum,2022-06-01,2022-07-01,outgoing,TRV,-0.046694421235624395
Dual Momentum,2022-06-01,2022-07-01,universe_median,__UNIVERSE_MEDIAN__,-0.07196418019732931
Dual Momentum,2022-07-01,2022-08-01,retained,CVX,0.09945403281321674
Dual Momentum,2022-07-01,2022-08-01,retained,MRK,-0.02146764484218766
Dual Momentum,2022-07-01,2022-08-01,retained,KO,0.015367561147561881
Dual Momentum,2022-07-01,2022-08-01,retained,AMGN,0.016814126586909728
Dual Momentum,2022-07-01,2022-08-01,retained,UNH,0.0584594078267886
Dual Momentum,2022-07-01,2022-08-01,universe_median,__UNIVERSE_MEDIAN__,0.06927502748588754
Dual Momentum,2022-08-01,2022-09-01,new,IBM,-0.005600354339650115
Dual Momentum,2022-08-01,2022-09-01,retained,KO,-0.03916359381933221
Dual Momentum,2022-08-01,2022-09-01,retained,AMGN,-0.017619343949126343
Dual Momentum,2022-08-01,2022-09-01,retained,CVX,-0.02033855547274288
Dual Momentum,2022-08-01,2022-09-01,retained,UNH,-0.04230356923298373
Dual Momentum,2022-08-01,2022-09-01,outgoing,MRK,-0.041414808089672794
Dual Momentum,2022-08-01,2022-09-01,universe_median,__UNIVERSE_MEDIAN__,-0.034453977103002464
Dual Momentum,2022-09-01,2022-10-03,new,MRK,0.02077441679739067
Dual Momentum,2022-09-01,2022-10-03,retained,KO,-0.07809514193193279
Dual Momentum,2022-09-01,2022-10-03,retained,AMGN,-0.0532928890746317
Dual Momentum,2022-09-01,2022-10-03,retained,CVX,-0.04799309989721523
Dual Momentum,2022-09-01,2022-10-03,retained,UNH,-0.020524409598789428
Dual Momentum,2022-09-01,2022-10-03,outgoing,IBM,-0.06417447928491615
Dual Momentum,2022-09-01,2022-10-03,universe_median,__UNIVERSE_MEDIAN__,-0.07809514193193279
Dual Momentum,2022-10-03,2022-11-01,retained,CVX,0.23427492842506648
Dual Momentum,2022-10-03,2022-11-01,retained,MRK,0.16063180960863122
Dual Momentum,2022-10-03,2022-11-01,outgoing,KO,0.06511730178297737
Dual Momentum,2022-10-03,2022-11-01,outgoing,AMGN,0.1810576900863421
Dual Momentum,2022-10-03,2022-11-01,outgoing,UNH,0.09450200741635628
Dual Momentum,2022-10-03,2022-11-01,universe_median,__UNIVERSE_MEDIAN__,0.13501667971770392
Dual Momentum,2022-11-01,2022-12-01,new,AMGN,0.07560691903637884
Dual Momentum,2022-11-01,2022-12-01,new,UNH,-0.004756955990490641
Dual Momentum,2022-11-01,2022-12-01,new,TRV,0.033443308726617715
Dual Momentum,2022-11-01,2022-12-01,retained,CVX,0.009872833797810232
Dual Momentum,2022-11-01,2022-12-01,retained,MRK,0.09041233468225962
Dual Momentum,2022-11-01,2022-12-01,universe_median,__UNIVERSE_MEDIAN__,0.06715196740211127
Dual Momentum,2022-12-01,2023-01-03,new,CAT,0.01595595190200183
Dual Momentum,2022-12-01,2023-01-03,new,IBM,-0.059207926960299084
Dual Momentum,2022-12-01,2023-01-03,retained,AMGN,-0.09420133725404967
Dual Momentum,2022-12-01,2023-01-03,retained,CVX,-0.033756608847113845
Dual Momentum,2022-12-01,2023-01-03,retained,MRK,0.012679034325366212
Dual Momentum,2022-12-01,2023-01-03,outgoing,UNH,-0.04636672708103917
Dual Momentum,2022-12-01,2023-01-03,outgoing,TRV,-0.017447670417002237
Dual Momentum,2022-12-01,2023-01-03,universe_median,__UNIVERSE_MEDIAN__,-0.0352540081748266
Dual Momentum,2023-01-03,2023-02-01,new,HON,-0.038858846800082
Dual Momentum,2023-01-03,2023-02-01,retained,AMGN,-0.044888281358112514
Dual Momentum,2023-01-03,2023-02-01,retained,CVX,-0.03498865248614258
Dual Momentum,2023-01-03,2023-02-01,retained,MRK,-0.031156643654884797
Dual Momentum,2023-01-03,2023-02-01,retained,IBM,-0.04684621494537888
Dual Momentum,2023-01-03,2023-02-01,outgoing,CAT,0.050983171986885845
Dual Momentum,2023-01-03,2023-02-01,universe_median,__UNIVERSE_MEDIAN__,0.018323147736303946
Dual Momentum,2023-02-01,2023-03-01,new,CAT,-0.038689203243587156
Dual Momentum,2023-02-01,2023-03-01,new,GS,-0.020073113028501566
Dual Momentum,2023-02-01,2023-03-01,new,BA,-0.050162648432566015
Dual Momentum,2023-02-01,2023-03-01,new,JPM,0.0281456426179163
Dual Momentum,2023-02-01,2023-03-01,retained,MRK,-0.009441786452068945
Dual Momentum,2023-02-01,2023-03-01,outgoing,AMGN,-0.06725976643567888
Dual Momentum,2023-02-01,2023-03-01,outgoing,CVX,-0.05510727271651861
Dual Momentum,2023-02-01,2023-03-01,outgoing,HON,-0.07326202329381082
Dual Momentum,2023-02-01,2023-03-01,outgoing,IBM,-0.029791633602742507
Dual Momentum,2023-02-01,2023-03-01,universe_median,__UNIVERSE_MEDIAN__,-0.029791633602742507
Dual Momentum,2023-03-01,2023-04-03,new,WMT,0.05157744401047748
Dual Momentum,2023-03-01,2023-04-03,retained,CAT,-0.04958471240069895
Dual Momentum,2023-03-01,2023-04-03,retained,BA,0.05623666929273052
Dual Momentum,2023-03-01,2023-04-03,retained,JPM,-0.08578472615300448
Dual Momentum,2023-03-01,2023-04-03,retained,MRK,0.006857206513184
Dual Momentum,2023-03-01,2023-04-03,outgoing,GS,-0.06654479202767927
Dual Momentum,2023-03-01,2023-04-03,universe_median,__UNIVERSE_MEDIAN__,0.026291650509159714
Dual Momentum,2023-04-03,2023-05-01,new,CSCO,-0.08654339441033121
Dual Momentum,2023-04-03,2023-05-01,new,AAPL,0.030498463550068244
Dual Momentum,2023-04-03,2023-05-01,retained,BA,-0.030780089087520834
Dual Momentum,2023-04-03,2023-05-01,retained,CAT,-0.0412129825090658
Dual Momentum,2023-04-03,2023-05-01,retained,WMT,0.022405658457919975
Dual Momentum,2023-04-03,2023-05-01,outgoing,JPM,0.10366010719974583
Dual Momentum,2023-04-03,2023-05-01,outgoing,MRK,0.09296838703795207
Dual Momentum,2023-04-03,2023-05-01,universe_median,__UNIVERSE_MEDIAN__,0.021954025574769664
Dual Momentum,2023-05-01,2023-06-01,new,TRV,-0.05702539354903302
Dual Momentum,2023-05-01,2023-06-01,new,JPM,-0.04034873575877218
Dual Momentum,2023-05-01,2023-06-01,new,MRK,-0.04438677462888585
Dual Momentum,2023-05-01,2023-06-01,retained,BA,0.0010182143702650581
Dual Momentum,2023-05-01,2023-06-01,retained,CAT,-0.053159444555161195
Dual Momentum,2023-05-01,2023-06-01,outgoing,CSCO,0.05423722727333824
Dual Momentum,2023-05-01,2023-06-01,outgoing,AAPL,0.05119213276123791
Dual Momentum,2023-05-01,2023-06-01,outgoing,WMT,-0.028301041718600595
Dual Momentum,2023-05-01,2023-06-01,universe_median,__UNIVERSE_MEDIAN__,-0.04309701360194351
Dual Momentum,2023-06-01,2023-07-03,new,CRM,0.011286083742917619
Dual Momentum,2023-06-01,2023-07-03,new,MSFT,0.04068371128056114
Dual Momentum,2023-06-01,2023-07-03,retained,BA,0.01956792189652412
Dual Momentum,2023-06-01,2023-07-03,retained,JPM,0.07083215428674694
Dual Momentum,2023-06-01,2023-07-03,retained,MRK,0.04134103668724709
Dual Momentum,2023-06-01,2023-07-03,outgoing,CAT,0.1842738450327568
Dual Momentum,2023-06-01,2023-07-03,outgoing,TRV,0.019624591757519516
Dual Momentum,2023-06-01,2023-07-03,universe_median,__UNIVERSE_MEDIAN__,0.05071824680237991
Dual Momentum,2023-07-03,2023-08-01,new,CAT,0.11445702252524526
