strategy,rebalance_date,next_rebalance_date,group,symbol,next_period_return
Market-Residual Momentum,2021-08-23,2021-09-01,new,KO,-0.005117242975526404
Market-Residual Momentum,2021-08-23,2021-09-01,new,MCD,-0.001151990423891469
Market-Residual Momentum,2021-08-23,2021-09-01,new,CSCO,0.020224720829344456
Market-Residual Momentum,2021-08-23,2021-09-01,new,MSFT,-0.0012528456041481784
Market-Residual Momentum,2021-08-23,2021-09-01,new,JNJ,-0.030775213092632647
Market-Residual Momentum,2021-08-23,2021-09-01,universe_median,__UNIVERSE_MEDIAN__,0.002578613158768839
Market-Residual Momentum,2021-09-01,2021-10-01,new,VZ,-0.017818145826597243
Market-Residual Momentum,2021-09-01,2021-10-01,new,WMT,-0.0562486283892486
Market-Residual Momentum,2021-09-01,2021-10-01,retained,KO,-0.05678706431876779
Market-Residual Momentum,2021-09-01,2021-10-01,retained,MCD,0.02181786497285687
Market-Residual Momentum,2021-09-01,2021-10-01,retained,JNJ,-0.06576038817801
Market-Residual Momentum,2021-09-01,2021-10-01,outgoing,CSCO,-0.07489008310836431
Market-Residual Momentum,2021-09-01,2021-10-01,outgoing,MSFT,-0.06851150130095363
Market-Residual Momentum,2021-09-01,2021-10-01,universe_median,__UNIVERSE_MEDIAN__,-0.05302557129856533
Market-Residual Momentum,2021-10-01,2021-11-01,new,MSFT,0.1745359338462984
Market-Residual Momentum,2021-10-01,2021-11-01,retained,VZ,-0.002734374214906632
Market-Residual Momentum,2021-10-01,2021-11-01,retained,KO,0.06839704899077281
Market-Residual Momentum,2021-10-01,2021-11-01,retained,MCD,0.0112313522678531
Market-Residual Momentum,2021-10-01,2021-11-01,retained,JNJ,0.010090851900217412
Market-Residual Momentum,2021-10-01,2021-11-01,outgoing,WMT,0.07697855138712728
Market-Residual Momentum,2021-10-01,2021-11-01,universe_median,__UNIVERSE_MEDIAN__,0.03865864124141094
Market-Residual Momentum,2021-11-01,2021-12-01,new,CSCO,-0.006085681715015667
