strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_exit_rank,outgoing_prior_score,outgoing_exit_score,incoming_rank,incoming_score,score_differential,outgoing_realized_return,outgoing_mfe,outgoing_mae,outgoing_state,removal_reason,rank_bucket,incoming_return,outgoing_counterfactual_return,replacement_advantage,large_winner,large_loser
Market-Residual Momentum,2021-09-01,2021-10-01,MSFT,VZ,5,6,-0.004251480338590907,-0.0043626402563750055,2,-0.003300249633539809,0.0010623906228351965,-0.0012528456041481784,0.0046166327996186585,-0.01371797774748773,near-flat,fell below top-N,just outside boundary,-0.017818145826597243,-0.06851150130095363,0.05069335547435638,False,False
Market-Residual Momentum,2021-09-01,2021-10-01,CSCO,WMT,3,7,-0.00392859135753143,-0.004413430403463425,5,-0.00401021308957672,0.0004032173138867057,0.020224720829344456,0.025929114790792518,0.0,winner,fell below top-N,just outside boundary,-0.0562486283892486,-0.07489008310836431,0.018641454719115713,False,False
Market-Residual Momentum,2021-10-01,2021-11-01,WMT,MSFT,5,6,-0.00401021308957672,-0.0034083311383668047,5,-0.003370548864954692,3.778227341211249e-05,-0.0562486283892486,0.011452741406829059,-0.0562486283892486,loser,fell below top-N,just outside boundary,0.1745359338462984,0.07697855138712728,0.09755738245917112,False,False
Market-Residual Momentum,2021-11-01,2021-12-01,MSFT,CSCO,5,6,-0.003370548864954692,-0.0034631812092449366,5,-0.003283493677507243,0.00017968753173769336,0.1745359338462984,0.1754573392261325,0.0,winner,fell below top-N,just outside boundary,-0.006085681715015667,0.013227639835240446,-0.019313321550256113,False,False
Market-Residual Momentum,2021-12-01,2022-01-03,CSCO,PG,5,12,-0.003283493677507243,-0.005873415223656142,5,-0.0032649192263389804,0.0026084959973171618,-0.006085681715015667,0.03400742136707269,-0.046894606087006574,loser,fell below top-N,moderate deterioration,0.11625829810722665,0.13272114371848165,-0.016462845611254995,False,False
Market-Residual Momentum,2022-02-01,2022-03-01,PG,HON,2,6,-0.0037095804243746366,-0.004699856203686736,5,-0.0044826908074764305,0.00021716539621030595,0.11603881307946318,0.13365589216265672,0.0,winner,fell below top-N,just outside boundary,-0.07969523210956131,-0.04030148844099668,-0.03939374366856463,False,False
Market-Residual Momentum,2022-03-01,2022-04-01,HON,PG,5,6,-0.0044826908074764305,-0.005796101363352735,3,-0.00485655107391425,0.0009395502894384844,-0.07969523210956131,0.017751218011798908,-0.12506932510481827,loser,fell below top-N,just outside boundary,-0.005119102198015035,0.04641827790786124,-0.051537380105876274,False,True
Market-Residual Momentum,2022-04-01,2022-05-02,VZ,HON,5,7,-0.005619984268620981,-0.007013045200712775,2,-0.006220665934673741,0.0007923792660390339,-0.05003783057387434,0.026115705196732675,-0.08434408364122836,loser,fell below top-N,just outside boundary,-0.0042188893485222145,-0.07729664690814508,0.07307775755962287,False,False
Market-Residual Momentum,2022-04-01,2022-05-02,PG,MSFT,3,8,-0.00485655107391425,-0.007767111232717561,4,-0.00660887207869898,0.001158239154018581,-0.005119102198015035,0.00745313034876105,-0.07186800147546568,loser,fell below top-N,just outside boundary,-0.1023369956174901,0.058537162461028025,-0.16087415807851813,False,False
Market-Residual Momentum,2022-06-01,2022-07-01,KO,AAPL,2,7,-0.006685737230347488,-0.00899027054046142,4,-0.007790895780059315,0.0011993747604021054,0.1449990773947829,0.1953704290248539,-0.06712521492111978,winner,fell below top-N,just outside boundary,-0.09246141624322257,0.0024603387085344597,-0.09492175495175703,False,False
