library,signal,horizon,dimension,level,spread_ann,tstat,n,thin_sample,full_sample_spread_ann,full_sample_tstat,full_sample_n,artifact_flag
daily,S1_pullback_ema21,1,regime,BULL,0.01916361111622389,0.579216325317907,4143,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,regime,BEAR,0.6376236010747836,2.6443542319602615,932,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,regime,SIDEWAYS,0.3795299441799287,2.6005381944989687,758,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,volatility,HIGH_VOL,0.7218822181972844,3.9489035387101854,1504,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,volatility,MID_VOL,0.004295906402375094,0.09881026391228387,3008,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,volatility,LOW_VOL,-0.0093611796617038,-0.23224201198571967,1504,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,drawdown,SHALLOW,0.010094407642233127,0.24975978760498377,2972,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,drawdown,MODERATE,0.0996212887813146,1.1658539421417595,1518,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,drawdown,DEEP,0.5570841000982689,3.629351772902322,1545,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,day_of_week,Mon->Tue,0.5420027689391937,4.771728054353639,1132,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,day_of_week,Tue->Wed,0.320742372932447,3.156552979131969,1238,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,day_of_week,Wed->Thu,0.23990204493750134,2.376424790526431,1238,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,day_of_week,Thu->Fri,0.07153825520369583,0.9438949978043735,1217,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,1,day_of_week,Fri->Mon,-0.21599626787990245,-2.5274286014235487,1211,False,0.15904342356707435,3.4621771295353856,6036,
daily,S1_pullback_ema21,5,regime,BULL,-0.027278551719774113,-1.1782883104805402,4139,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,regime,BEAR,0.4574933313286862,2.5510608517900466,932,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,regime,SIDEWAYS,0.2664705712065525,2.2933747926307873,758,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,volatility,HIGH_VOL,0.5503754746252856,4.013507382403389,1504,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,volatility,MID_VOL,-0.04632034105307159,-1.5112589029238066,3004,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,volatility,LOW_VOL,-0.04807057770419332,-1.5275086770873776,1504,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,drawdown,SHALLOW,-0.03806127960570793,-1.2215897290187736,2968,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,drawdown,MODERATE,0.03167674272086507,0.5128922367294557,1518,False,0.08878525388718317,2.474523006653378,6032,
daily,S1_pullback_ema21,5,drawdown,DEEP,0.45066064884783086,3.858352341133208,1545,False,0.08878525388718317,2.474523006653378,6032,
daily,S2_ema_crossover,1,regime,BULL,0.05668788517762491,1.717232773655315,4143,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,regime,BEAR,-0.29821941114269357,-1.8303905097591584,932,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,regime,SIDEWAYS,-0.1804078347243646,-1.634655278284422,758,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,volatility,HIGH_VOL,-0.34143833708665094,-2.955619268371272,1504,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,volatility,MID_VOL,0.10771852431623397,2.375233291209347,3008,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,volatility,LOW_VOL,0.03451921947561565,0.8333795079983704,1504,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,drawdown,SHALLOW,0.04481130125363553,1.0612701735740706,2972,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,drawdown,MODERATE,0.0114598038558551,0.14329011826223828,1518,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,drawdown,DEEP,-0.26824455814124504,-2.467889674988282,1545,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,day_of_week,Mon->Tue,-0.23756086006316557,-3.0582782357299814,1132,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,day_of_week,Tue->Wed,-0.17608156497642646,-2.0660985352841696,1238,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,day_of_week,Wed->Thu,-0.16477048473377365,-1.9211993616139367,1238,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,day_of_week,Thu->Fri,-0.013347718737690473,-0.18331376732106638,1217,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,1,day_of_week,Fri->Mon,0.4156151905532657,3.7346214708670815,1211,False,-0.05861380489548773,-1.384976724200684,6036,
daily,S2_ema_crossover,5,regime,BULL,0.058045013514020916,2.2845363444805407,4139,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,regime,BEAR,-0.2613497229998307,-1.9656798873300427,932,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,regime,SIDEWAYS,-0.12525715301691764,-1.286021153415064,758,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,volatility,HIGH_VOL,-0.302988270263845,-3.0976718196073345,1504,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,volatility,MID_VOL,0.11028958400372013,3.198536040791145,3004,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,volatility,LOW_VOL,0.056052426290780666,1.5792885937508467,1504,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,drawdown,SHALLOW,0.05720413314796691,1.524627833312902,2968,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,drawdown,MODERATE,0.027571412508495596,0.43856395594669956,1518,False,-0.038519934098034,-1.063825427748309,6032,
daily,S2_ema_crossover,5,drawdown,DEEP,-0.24765191094783812,-2.769652711080548,1545,False,-0.038519934098034,-1.063825427748309,6032,
daily,S3_rsi14_oversold,1,regime,BULL,0.02056570259435242,0.7019625415377958,4143,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,regime,BEAR,0.7805731510593201,3.601373454427527,932,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,regime,SIDEWAYS,0.4113134765875901,3.3708413826723027,758,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,volatility,HIGH_VOL,0.8104755251197258,5.105553886956109,1504,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,volatility,MID_VOL,0.0177924815924273,0.4621825598531796,3008,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,volatility,LOW_VOL,-0.009334656406614683,-0.24228837767834702,1504,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,drawdown,SHALLOW,0.0021701476867621583,0.05854586227099486,2972,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,drawdown,MODERATE,0.1510900480855537,2.0274403815095576,1518,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,drawdown,DEEP,0.6518500129735081,4.865998498403181,1545,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,day_of_week,Mon->Tue,0.3896254253569902,4.194211315855833,1132,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,day_of_week,Tue->Wed,0.35527387119820575,3.88915126907466,1238,False,0.1856833831620397,4.591861543610642,6036,
daily,S3_rsi14_oversold,1,day_of_week,Wed->Thu,0.28969632796112044,3.1122830396086485,1238,False,0.1856833831620397,4.591861543610642,6036,
