hypothesis_id,feature,favorable_bucket,adverse_bucket,classification,contrast_method,contrast_mean_daily,contrast_annualized,contrast_hac_tstat,contrast_pvalue,contrast_days,familywise_t_threshold,historical_evidence_stage
ibs_earnings_event,earnings_event,non_event,event,UNRESOLVED / UNDERPOWERED,paired same-signal-date spread difference with HAC mean test,0.0010055706219183928,0.28823939277062594,1.9010493339481551,0.0572955510365014,2010,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_overnight_gap_share,overnight_gap_share,low,high,SUPPORTED,paired same-signal-date spread difference with HAC mean test,0.0012764241590252207,0.3791312556005608,10.542846880588353,5.481399590055886e-26,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_abnormal_volume,abnormal_volume,low,high,SUPPORTED,paired same-signal-date spread difference with HAC mean test,0.0005478916594079599,0.14801101022125218,5.524485198623464,3.3045309182277525e-08,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_turnover,turnover,low,high,SUPPORTED,paired same-signal-date spread difference with HAC mean test,0.0011462052303906468,0.3346623084101361,9.809188074683608,1.0279228731571885e-22,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_liquidity,adv20_pre,low,high,FALSIFIED,paired same-signal-date spread difference with HAC mean test,-0.0006541976372823296,-0.1520314684653692,-4.80511903134413,1.5465946516029472e-06,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_intraday_range,intraday_range,low,high,UNRESOLVED / UNDERPOWERED,paired same-signal-date spread difference with HAC mean test,-2.1068383922356372e-05,-0.00529521931501209,-0.1623366205059394,0.8710407781386533,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_idiosyncratic_volatility,idio_vol20_pre,low,high,SUPPORTED,paired same-signal-date spread difference with HAC mean test,0.0004593375629536403,0.12268876256378136,3.6433661163668662,0.00026909565091625217,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_market_cap,marketcap_pre,low,high,FALSIFIED,paired same-signal-date spread difference with HAC mean test,-0.0010970446638870579,-0.2416475351254752,-7.777942075322318,7.371380505279993e-15,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_volatility_bucket,total_vol20_pre,low,high,SUPPORTED,paired same-signal-date spread difference with HAC mean test,0.00047758735833413663,0.12786141236242488,3.78704122661825,0.00015245181330034814,4526,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
ibs_market_regime,market_regime,bull,bear,UNRESOLVED / UNDERPOWERED,HAC difference in mean across mutually exclusive regime dates,-0.00011926392870283744,-0.029609103311537766,-0.6332456869355613,0.5265732151071203,4145,2.81,DEVELOPMENT / NOT INDEPENDENT VALIDATION
