signal,comparison,cross_sectional_spearman_mean,strategy_return_correlation_v31
residual_momentum_60d,IBS,-0.17849196267757744,0.9511727203487834
residual_momentum_60d,RSI2,-0.19847947005427904,0.9511727203487834
residual_momentum_60d,Sector_RS,0.9472359733191369,0.9511727203487834
residual_momentum_60d,Turnaround_Tuesday,-0.08106164515870348,0.9511727203487834
residual_momentum_60d,Composite_V3_1_raw,-0.0893734232921698,0.9511727203487834
residual_momentum_126d,IBS,-0.1376414274957125,0.9416053762861176
residual_momentum_126d,RSI2,-0.14662206321392277,0.9416053762861176
residual_momentum_126d,Sector_RS,0.6570008750409119,0.9416053762861176
residual_momentum_126d,Turnaround_Tuesday,-0.06035550373708156,0.9416053762861176
residual_momentum_126d,Composite_V3_1_raw,-0.07655551100344198,0.9416053762861176
residual_momentum_252d_ex20,IBS,-0.03297034416742465,0.9457298616222761
residual_momentum_252d_ex20,RSI2,-0.01814536236424427,0.9457298616222761
residual_momentum_252d_ex20,Sector_RS,0.31811692412312154,0.9457298616222761
residual_momentum_252d_ex20,Turnaround_Tuesday,-0.006531375720314936,0.9457298616222761
residual_momentum_252d_ex20,Composite_V3_1_raw,0.005931196800437114,0.9457298616222761
