formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,median_marketcap,median_adv_proxy
2001-03-29,2001-03-30,2001-04-30,293,0.1200104731938611,0.1190104731938611,1.0,0.001,543.2,
2001-04-27,2001-04-30,2001-05-29,289,0.0839159694759411,0.08342775398772562,0.4882154882154882,0.00048821548821548823,955.8499999999999,
2001-05-25,2001-05-29,2001-06-26,290,-0.1164343786603219,-0.11695314999137991,0.5187713310580204,0.0005187713310580204,769.8499999999999,
2001-06-25,2001-06-26,2001-07-25,289,-0.021167986083682595,-0.021553651612692834,0.3856655290102389,0.0003856655290102389,652.4,
2001-07-24,2001-07-25,2001-08-22,285,-0.04357905233791098,-0.04403266058533366,0.4536082474226804,0.0004536082474226804,559.4,
2001-08-21,2001-08-22,2001-09-26,285,-0.1825174608134664,-0.18296075978253856,0.44329896907216493,0.00044329896907216497,755.5,
2001-09-25,2001-09-26,2001-10-24,283,0.0834856330811109,0.0830340759876853,0.4515570934256055,0.0004515570934256055,719.4,
2001-10-23,2001-10-24,2001-11-21,280,0.07961670141734238,0.0791376804383214,0.479020979020979,0.000479020979020979,887.0,
2001-11-20,2001-11-21,2001-12-20,277,0.05813304449809703,0.05763832618823787,0.49471830985915494,0.0004947183098591549,844.6,
2001-12-19,2001-12-20,2002-01-22,273,-0.011896534304512103,-0.012400118533902785,0.503584229390681,0.0005035842293906811,866.0,
2002-01-18,2002-01-22,2002-02-20,276,-0.08743561068322962,-0.08785287687027998,0.4172661870503597,0.0004172661870503597,750.5,
2002-02-19,2002-02-20,2002-03-20,281,0.09122732410062888,0.09072732410062888,0.5,0.0005,774.2,
2002-03-19,2002-03-20,2002-04-18,283,0.03160176932837203,0.031135102661705365,0.4666666666666667,0.0004666666666666667,988.45,
2002-04-17,2002-04-18,2002-05-16,287,-0.0361520647127579,-0.03657103022999928,0.4189655172413793,0.0004189655172413794,954.75,
2002-05-15,2002-05-16,2002-06-14,291,-0.1582210281326442,-0.15868322744535895,0.46219931271477666,0.00046219931271477665,832.4,
2002-06-13,2002-06-14,2002-07-15,290,-0.10257087896168848,-0.10303479648746168,0.4639175257731959,0.0004639175257731959,675.2,
2002-07-12,2002-07-15,2002-08-12,291,-0.08528286362252396,-0.08568868554033218,0.4058219178082192,0.0004058219178082192,696.5,
2002-08-09,2002-08-12,2002-09-10,293,0.029625945644577253,0.02917696605274052,0.4489795918367347,0.00044897959183673463,768.7,
2002-09-09,2002-09-10,2002-10-08,285,-0.16231141218579379,-0.1627331808932768,0.4217687074829932,0.00042176870748299324,769.35,
2002-10-07,2002-10-08,2002-11-05,273,0.16320342077054448,0.16276635783348153,0.4370629370629371,0.00043706293706293706,644.75,
2002-11-04,2002-11-05,2002-12-04,265,0.05320721602590264,0.05258495325218002,0.6222627737226277,0.0006222627737226278,748.9,
2002-12-03,2002-12-04,2003-01-03,259,-0.050555829752357034,-0.05101432031839477,0.45849056603773586,0.0004584905660377359,792.2,
2003-01-02,2003-01-03,2003-02-03,258,-0.06322059861325245,-0.0636494447670986,0.4288461538461538,0.00042884615384615384,749.1,
2003-01-31,2003-02-03,2003-03-04,257,-0.04381133116571686,-0.0443499412043269,0.5386100386100386,0.0005386100386100386,615.3,
2003-03-03,2003-03-04,2003-04-01,259,0.017683005782366125,0.017221319958611335,0.4616858237547893,0.0004616858237547893,842.5,
2003-03-31,2003-04-01,2003-04-30,263,0.09508031296956537,0.09465065517488856,0.4296577946768061,0.00042965779467680603,720.3,
2003-04-29,2003-04-30,2003-05-29,261,0.11574795781911625,0.1152384521156942,0.5095057034220533,0.0005095057034220533,749.6,
2003-05-28,2003-05-29,2003-06-26,260,0.05352974925493625,0.05309296764574085,0.4367816091954023,0.00043678160919540237,644.2,
2003-06-25,2003-06-26,2003-07-25,261,0.048800227205981817,0.04844717377086731,0.3530534351145038,0.0003530534351145038,697.45,
2003-07-24,2003-07-25,2003-08-22,263,0.07515290141491786,0.07475027969207142,0.40262172284644193,0.00040262172284644197,661.7,
2003-08-21,2003-08-22,2003-09-22,278,0.05086287115193071,0.05045785323078376,0.4050179211469534,0.00040501792114695345,747.75,
2003-09-19,2003-09-22,2003-10-20,295,0.023766087179954213,0.023362370963737996,0.40371621621621623,0.00040371621621621625,721.3499999999999,
2003-10-17,2003-10-20,2003-11-17,305,0.01768800109714045,0.017256853556156845,0.4311475409836066,0.0004311475409836066,609.4,
2003-11-14,2003-11-17,2003-12-16,309,-0.027085692429083406,-0.027516560596285978,0.43086816720257237,0.0004308681672025724,697.1,
2003-12-15,2003-12-16,2004-01-15,315,0.11766815473907054,0.11723302815679205,0.435126582278481,0.000435126582278481,757.65,
2004-01-14,2004-01-15,2004-02-13,322,-0.0005748588487452735,-0.0010034302773167022,0.42857142857142855,0.00042857142857142855,713.7,
2004-02-12,2004-02-13,2004-03-15,329,-0.05730500902375918,-0.057808030171795435,0.5030211480362538,0.0005030211480362538,708.4,
2004-03-12,2004-03-15,2004-04-13,334,0.06400439805374682,0.0635743385299373,0.43005952380952384,0.0004300595238095238,688.75,
2004-04-12,2004-04-13,2004-05-11,339,-0.13936990269779143,-0.13976463953989668,0.39473684210526316,0.0003947368421052632,781.8,
2004-05-10,2004-05-11,2004-06-09,343,0.0662163784313148,0.06569620552065197,0.5201729106628242,0.0005201729106628243,746.3,
2004-06-08,2004-06-09,2004-07-09,343,-0.026394910295170895,-0.026811336808139196,0.4164265129682997,0.0004164265129682997,916.05,
2004-07-08,2004-07-09,2004-08-06,340,-0.0744287350482613,-0.07484925527947517,0.42052023121387283,0.00042052023121387283,854.3,
2004-08-05,2004-08-06,2004-09-03,340,0.03998881318534097,0.039480117533167054,0.508695652173913,0.0005086956521739129,734.6,
2004-09-02,2004-09-03,2004-10-04,334,0.06568954554810204,0.0652998396657491,0.3897058823529412,0.00038970588235294116,839.6,
2004-10-01,2004-10-04,2004-11-01,325,-0.004487567416040926,-0.004886074878727493,0.39850746268656717,0.00039850746268656716,826.3,
2004-10-29,2004-11-01,2004-11-30,323,0.08993526704995372,0.08944136461092933,0.49390243902439024,0.0004939024390243902,823.5,
2004-11-29,2004-11-30,2004-12-29,320,0.033202348472747896,0.0327810521764516,0.4212962962962963,0.0004212962962962963,834.5,
2004-12-28,2004-12-29,2005-01-27,324,-0.08201093985466587,-0.08241063121269056,0.39969135802469136,0.00039969135802469136,803.75,
