regime,bucket,mean_spread,n
early,all,-0.004559697760434554,2013
early,large,-0.0002680464055237334,2013
early,small,-0.007610269375103318,2013
late,all,0.006177146184019561,2264
late,large,0.003378074007536241,2264
late,small,0.008411912666230122,2264
bull,all,0.006982234515254808,3152
bull,large,0.005465376952958385,3152
bull,small,0.008288230389899605,3152
bear,all,-0.015290325176193442,1125
bear,large,-0.00899420979287294,1125
bear,small,-0.0199105814797347,1125
high_vol,all,-0.005534743128289842,2036
high_vol,large,-0.0005386831032168994,2036
high_vol,small,-0.008496249764002104,2036
low_vol,all,0.0071731924935580765,2241
low_vol,large,0.0036613748045035165,2241
low_vol,small,0.009381286275667247,2241
