regime,bucket,mean_spread,n
early,all,-0.005249746692632028,2205
early,large,0.00038868621975823555,2205
early,small,-0.009621710879201767,2205
late,all,0.0025269404959962147,2264
late,large,0.0017956053189445349,2264
late,small,0.004836549749767904,2264
bull,all,0.0047399428721665625,3173
bull,large,0.0039007031838888843,3173
bull,small,0.007305627080287251,3173
bear,all,-0.01612232786088171,1296
bear,large,-0.005752027504492356,1296
bear,small,-0.025807622361818525,1296
high_vol,all,-0.009242975979489405,2208
high_vol,large,-0.0026211462179853815,2208
high_vol,small,-0.014074626128337925,2208
low_vol,all,0.006436883143916148,2261
low_vol,large,0.0047367511746877755,2261
low_vol,small,0.009204268304380706,2261
