ticker,required_rebalance_dates,missing_rebalance_dates,first_required,last_required,warmup_required_by,warmup_available,identity_status,identity_blocker,artifact_sources,first_available_bar,last_available_bar,missing_dates
AA,165,0,2000-01-01,2013-09-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/dow_pit_extended/prices/AA.parquet;data/AA_1d.parquet,1998-01-02,2026-08-28,
AAPL,137,0,2015-04-01,2026-08-01,2014-02-25,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/AAPL.parquet;data/AAPL_1d.parquet,1990-01-02,2026-08-28,
AIG,53,0,2004-05-01,2008-09-01,2003-03-28,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/AIG.parquet;data/AIG_1d.parquet,1990-01-02,2026-08-13,
AMGN,72,0,2020-09-01,2026-08-01,2019-07-29,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/AMGN.parquet;data/AMGN_1d.parquet,1990-01-02,2026-08-28,
AMZN,30,0,2024-03-01,2026-08-01,2023-01-26,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/AMZN.parquet;data/AMZN_1d.parquet,1997-05-15,2026-08-13,
AXP,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/AXP.parquet;data/AXP_1d.parquet,1990-01-02,2026-08-28,
BA,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/BA.parquet;data/BA_1d.parquet,1990-01-02,2026-08-28,
BAC,67,0,2008-03-01,2013-09-01,2007-01-26,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/BAC.parquet;data/BAC_1d.parquet,1990-01-02,2026-08-13,
C,114,0,2000-01-01,2009-06-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/C.parquet;data/C_1d.parquet,1990-01-02,2026-08-13,
CAT,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/CAT.parquet;data/CAT_1d.parquet,1990-01-02,2026-08-28,
CRM,72,0,2020-09-01,2026-08-01,2019-07-29,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/CRM.parquet;data/CRM_1d.parquet,2004-06-23,2026-08-28,
CSCO,206,0,2009-07-01,2026-08-01,2008-05-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/CSCO.parquet;data/CSCO_1d.parquet,1990-02-16,2026-08-28,
CVX,222,0,2008-03-01,2026-08-01,2007-01-26,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/CVX.parquet;data/CVX_1d.parquet,1990-01-02,2026-08-28,
DD,212,0,2000-01-01,2017-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/DD.parquet;data/DD_1d.parquet,1990-01-02,2026-08-13,
DIS,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/DIS.parquet;data/DIS_1d.parquet,1990-01-02,2026-08-28,
DOW,67,0,2019-05-01,2024-11-01,2018-03-27,False,no_known_blocker_in_existing_ledger,,data/dow_pit_extended/prices/DOW.parquet;data/sp500_pit_free/prices/DOW.parquet;data/DOW_1d.parquet,2019-03-20,2026-08-28,
DWDP,20,0,2017-09-01,2019-04-01,2016-07-28,True,no_known_blocker_in_existing_ledger,,data/dow_pit_extended/prices/DWDP.parquet,2016-07-28,2019-03-29,
EK,52,52,2000-01-01,2004-04-01,1998-11-27,False,unresolved,Eastman Kodak; historical/delisted identity and terminal economics unresolved,,,,2000-01-01;2000-02-01;2000-03-01;2000-04-01;2000-05-01;2000-06-01;2000-07-01;2000-08-01;2000-09-01;2000-10-01;2000-11-01;2000-12-01;2001-01-01;2001-02-01;2001-03-01;2001-04-01;2001-05-01;2001-06-01;2001-07-01;2001-08-01;2001-09-01;2001-10-01;2001-11-01;2001-12-01;2002-01-01;2002-02-01;2002-03-01;2002-04-01;2002-05-01;2002-06-01;2002-07-01;2002-08-01;2002-09-01;2002-10-01;2002-11-01;2002-12-01;2003-01-01;2003-02-01;2003-03-01;2003-04-01;2003-05-01;2003-06-01;2003-07-01;2003-08-01;2003-09-01;2003-10-01;2003-11-01;2003-12-01;2004-01-01;2004-02-01;2004-03-01;2004-04-01
GE,222,0,2000-01-01,2018-06-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/GE.parquet;data/GE_1d.parquet,1990-01-02,2026-08-13,
GM,114,114,2000-01-01,2009-06-01,1998-11-27,False,unresolved,pre-bankruptcy General Motors; current GM ticker is a different security,data/sp500_pit_free/prices/GM.parquet;data/GM_1d.parquet,2010-11-18,2026-08-13,2000-01-01;2000-02-01;2000-03-01;2000-04-01;2000-05-01;2000-06-01;2000-07-01;2000-08-01;2000-09-01;2000-10-01;2000-11-01;2000-12-01;2001-01-01;2001-02-01;2001-03-01;2001-04-01;2001-05-01;2001-06-01;2001-07-01;2001-08-01;2001-09-01;2001-10-01;2001-11-01;2001-12-01;2002-01-01;2002-02-01;2002-03-01;2002-04-01;2002-05-01;2002-06-01;2002-07-01;2002-08-01;2002-09-01;2002-10-01;2002-11-01;2002-12-01;2003-01-01;2003-02-01;2003-03-01;2003-04-01;2003-05-01;2003-06-01;2003-07-01;2003-08-01;2003-09-01;2003-10-01;2003-11-01;2003-12-01;2004-01-01;2004-02-01;2004-03-01;2004-04-01;2004-05-01;2004-06-01;2004-07-01;2004-08-01;2004-09-01;2004-10-01;2004-11-01;2004-12-01;2005-01-01;2005-02-01;2005-03-01;2005-04-01;2005-05-01;2005-06-01;2005-07-01;2005-08-01;2005-09-01;2005-10-01;2005-11-01;2005-12-01;2006-01-01;2006-02-01;2006-03-01;2006-04-01;2006-05-01;2006-06-01;2006-07-01;2006-08-01;2006-09-01;2006-10-01;2006-11-01;2006-12-01;2007-01-01;2007-02-01;2007-03-01;2007-04-01;2007-05-01;2007-06-01;2007-07-01;2007-08-01;2007-09-01;2007-10-01;2007-11-01;2007-12-01;2008-01-01;2008-02-01;2008-03-01;2008-04-01;2008-05-01;2008-06-01;2008-07-01;2008-08-01;2008-09-01;2008-10-01;2008-11-01;2008-12-01;2009-01-01;2009-02-01;2009-03-01;2009-04-01;2009-05-01;2009-06-01
GOOGL,2,0,2026-07-01,2026-08-01,2025-05-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/GOOGL.parquet;data/GOOGL_1d.parquet,2004-08-19,2026-08-13,
GS,155,0,2013-10-01,2026-08-01,2012-08-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/GS.parquet;data/GS_1d.parquet,1999-05-04,2026-08-28,
HD,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/HD.parquet;data/HD_1d.parquet,1990-01-02,2026-08-28,
HON,170,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/HON.parquet;data/HON_1d.parquet,1990-01-02,2026-08-28,
HPQ,165,0,2000-01-01,2013-09-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/HPQ.parquet;data/HPQ_1d.parquet,1990-01-02,2026-08-13,
IBM,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/IBM.parquet;data/IBM_1d.parquet,1990-01-02,2026-08-28,
INTC,299,0,2000-01-01,2024-11-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/INTC.parquet;data/INTC_1d.parquet,1990-01-02,2026-08-28,
IP,52,0,2000-01-01,2004-04-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/IP.parquet;data/IP_1d.parquet,1990-01-02,2026-08-13,
JNJ,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/JNJ.parquet;data/JNJ_1d.parquet,1990-01-02,2026-08-28,
JPM,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/JPM.parquet;data/JPM_1d.parquet,1990-01-02,2026-08-28,
KFT,48,0,2008-10-01,2012-09-01,2007-08-28,True,no_known_blocker_in_existing_ledger,,data/dow_pit_extended/prices/KFT.parquet,2007-08-28,2012-09-21,
KO,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/KO.parquet;data/KO_1d.parquet,1990-01-02,2026-08-28,
MCD,320,0,2000-01-01,2026-08-01,1998-11-27,True,no_known_blocker_in_existing_ledger,,data/sp500_pit_free/prices/MCD.parquet;data/MCD_1d.parquet,1990-01-02,2026-08-28,
