year,rebalance_dates,pit_member_observations,with_valid_price_observations,coverage_pct,minimum_rebalance_date_coverage_pct,maximum_rebalance_date_coverage_pct
1996,12,5361,2125,39.64,0.0,39.84
1997,12,5854,2448,41.82,39.96,43.85
1998,12,5878,2664,45.32,44.47,46.33
1999,12,5892,2784,47.25,46.25,49.08
2000,12,5904,2925,49.54,48.88,50.71
2001,12,5939,3070,51.69,51.21,52.02
2002,12,5937,3154,53.12,52.32,54.05
2003,12,5928,3244,54.72,54.25,55.26
2004,12,5936,3306,55.69,55.26,56.16
2005,12,5950,3352,56.34,55.76,57.55
2006,12,5964,3500,58.69,57.95,59.56
2007,12,5963,3635,60.96,59.68,62.98
2008,12,5968,3825,64.09,63.58,64.66
2009,12,5985,3954,66.07,64.86,66.73
2010,12,5979,4070,68.07,66.93,68.47
2011,12,5964,4114,68.98,68.41,69.82
2012,12,5963,4235,71.02,70.22,72.18
2013,12,5964,4341,72.79,72.03,73.44
2014,12,5976,4403,73.68,73.04,74.15
2015,12,6006,4535,75.51,74.15,76.54
2016,12,6060,4773,78.76,77.09,80.04
2017,12,6072,4962,81.72,80.24,82.81
2018,12,6065,5057,83.38,82.97,83.9
2019,12,6060,5147,84.93,83.76,86.34
2020,12,6060,5336,88.05,86.93,89.11
2021,12,6060,5453,89.98,89.11,90.69
2022,12,6046,5590,92.46,90.69,94.04
2023,12,6036,5742,95.13,94.43,95.83
2024,12,6036,5833,96.64,96.02,97.22
2025,5,2515,2450,97.42,97.42,97.42
