ticker,effective_start,effective_end,source
A,2000-06-05,2025-05-17,qzzcl+leandroloi_single_source
AABA,1999-12-08,2017-06-18,qzzcl
AAL,1996-01-02,1997-01-14,qzzcl
AAL,2015-03-23,2024-09-21,qzzcl+leandroloi_single_source
AAMRQ,1996-01-02,2003-03-13,qzzcl
AAP,2015-07-09,2023-08-28,qzzcl+leandroloi_single_source
AAPL,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
ABBV,2013-01-02,2025-05-17,qzzcl+leandroloi_single_source
ABC,2001-08-30,2023-08-30,qzzcl+leandroloi_single_source
ABC,2023-09-01,2023-09-01,leandroloi_single_source
ABI,1996-01-02,2008-11-23,qzzcl
ABKFQ,2000-12-11,2008-06-10,qzzcl
ABMD,2018-05-31,2022-12-21,qzzcl
ABNB,2023-09-18,2025-05-17,leandroloi_single_source
ABS,1996-01-02,2006-06-01,qzzcl
ABT,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
ABX,1996-01-02,2002-07-21,qzzcl
ACAS,2007-07-09,2009-03-03,qzzcl
ACGL,2022-11-01,2025-05-17,qzzcl+leandroloi_single_source
ACKH,1996-01-02,2000-11-16,qzzcl
ACN,2011-07-06,2025-05-17,qzzcl+leandroloi_single_source
ACS,2004-04-02,2010-02-07,qzzcl
ACV,1996-01-02,2006-11-16,qzzcl
ADBE,1997-05-06,2025-05-17,qzzcl+leandroloi_single_source
ADCT,1999-08-02,2007-07-01,qzzcl
ADI,1999-10-12,2025-05-17,qzzcl+leandroloi_single_source
ADM,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
ADP,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
ADS,2013-12-23,2020-06-21,qzzcl
ADSK,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
ADT,2012-10-02,2016-05-01,qzzcl
AEE,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
AEP,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
AES,1998-10-02,2025-05-17,qzzcl+leandroloi_single_source
AET,1996-01-02,2018-11-28,qzzcl
AFL,1999-05-28,2025-05-17,qzzcl+leandroloi_single_source
AFS-A,1998-04-08,2000-11-30,qzzcl
AGC,1996-01-02,2001-08-28,qzzcl
AGN,1996-01-02,2020-05-11,qzzcl
AHM,1996-01-02,1998-09-30,qzzcl
AIG,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
AIT,1996-01-02,1999-10-10,qzzcl
AIV,2003-03-14,2020-12-20,qzzcl
AIZ,2007-04-10,2025-05-17,qzzcl+leandroloi_single_source
AJG,2016-05-31,2025-05-17,qzzcl+leandroloi_single_source
AKAM,2007-07-12,2025-05-17,qzzcl+leandroloi_single_source
AKS,2008-07-01,2011-12-18,qzzcl
AL,1996-01-02,2002-07-21,qzzcl
ALB,2016-07-01,2025-05-17,qzzcl+leandroloi_single_source
ALGN,2017-06-19,2025-05-17,qzzcl+leandroloi_single_source
ALK,2016-05-13,2023-12-16,qzzcl+leandroloi_single_source
ALL,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
ALLE,2013-12-02,2025-05-17,qzzcl+leandroloi_single_source
ALTR,2000-04-18,2015-12-27,qzzcl
ALXN,2012-05-25,2021-07-20,qzzcl
AM,1996-01-02,2004-05-02,qzzcl
AMAT,1996-01-02,2025-05-17,qzzcl+leandroloi_single_source
AMCC,2001-01-02,2006-05-17,qzzcl
AMCR,2019-06-07,2025-05-17,qzzcl+leandroloi_single_source
