historical_symbol,vendor_symbol,start_date,end_date,reason
A,A,2000-06-05,2025-05-17,standard
AABA,AABA,1999-12-08,2017-06-18,standard
AAL,AAL,1996-01-02,1997-01-14,identity_ambiguous_multi_tenure
AAL,AAL,2015-03-23,2024-09-21,identity_ambiguous_multi_tenure
AAMRQ,AAMRQ,1996-01-02,2003-03-13,legacy_suffix_needs_verification
AAP,AAP,2015-07-09,2023-08-28,standard
AAPL,AAPL,1996-01-02,2025-05-17,standard
ABBV,ABBV,2013-01-02,2025-05-17,standard
ABC,ABC,2001-08-30,2023-08-30,identity_ambiguous_multi_tenure
ABC,ABC,2023-09-01,2023-09-01,identity_ambiguous_multi_tenure
ABI,ABI,1996-01-02,2008-11-23,standard
ABKFQ,ABKFQ,2000-12-11,2008-06-10,legacy_suffix_needs_verification
ABMD,ABMD,2018-05-31,2022-12-21,standard
ABNB,ABNB,2023-09-18,2025-05-17,standard
ABS,ABS,1996-01-02,2006-06-01,standard
ABT,ABT,1996-01-02,2025-05-17,standard
ABX,ABX,1996-01-02,2002-07-21,standard
ACAS,ACAS,2007-07-09,2009-03-03,standard
ACGL,ACGL,2022-11-01,2025-05-17,standard
ACKH,ACKH,1996-01-02,2000-11-16,standard
ACN,ACN,2011-07-06,2025-05-17,standard
ACS,ACS,2004-04-02,2010-02-07,standard
ACV,ACV,1996-01-02,2006-11-16,standard
ADBE,ADBE,1997-05-06,2025-05-17,standard
ADCT,ADCT,1999-08-02,2007-07-01,standard
ADI,ADI,1999-10-12,2025-05-17,standard
ADM,ADM,1996-01-02,2025-05-17,standard
ADP,ADP,1996-01-02,2025-05-17,standard
ADS,ADS,2013-12-23,2020-06-21,standard
ADSK,ADSK,1996-01-02,2025-05-17,standard
ADT,ADT,2012-10-02,2016-05-01,standard
AEE,AEE,1996-01-02,2025-05-17,standard
AEP,AEP,1996-01-02,2025-05-17,standard
AES,AES,1998-10-02,2025-05-17,standard
AET,AET,1996-01-02,2018-11-28,standard
AFL,AFL,1999-05-28,2025-05-17,standard
AFS-A,AFS-A,1998-04-08,2000-11-30,standard
AGC,AGC,1996-01-02,2001-08-28,standard
AGN,AGN,1996-01-02,2020-05-11,standard
AHM,AHM,1996-01-02,1998-09-30,standard
AIG,AIG,1996-01-02,2025-05-17,standard
AIT,AIT,1996-01-02,1999-10-10,standard
AIV,AIV,2003-03-14,2020-12-20,standard
AIZ,AIZ,2007-04-10,2025-05-17,standard
AJG,AJG,2016-05-31,2025-05-17,standard
AKAM,AKAM,2007-07-12,2025-05-17,standard
AKS,AKS,2008-07-01,2011-12-18,standard
AL,AL,1996-01-02,2002-07-21,standard
ALB,ALB,2016-07-01,2025-05-17,standard
ALGN,ALGN,2017-06-19,2025-05-17,standard
ALK,ALK,2016-05-13,2023-12-16,standard
ALL,ALL,1996-01-02,2025-05-17,standard
ALLE,ALLE,2013-12-02,2025-05-17,standard
ALTR,ALTR,2000-04-18,2015-12-27,standard
ALXN,ALXN,2012-05-25,2021-07-20,standard
AM,AM,1996-01-02,2004-05-02,standard
AMAT,AMAT,1996-01-02,2025-05-17,standard
AMCC,AMCC,2001-01-02,2006-05-17,standard
AMCR,AMCR,2019-06-07,2025-05-17,standard
AMD,AMD,1996-01-02,2013-09-22,identity_ambiguous_multi_tenure
AMD,AMD,2017-03-20,2025-05-17,identity_ambiguous_multi_tenure
AME,AME,2013-09-23,2025-05-17,standard
AMG,AMG,2014-07-01,2019-12-22,standard
AMGN,AMGN,1996-01-02,2025-05-17,standard
AMH,AMH,1996-01-02,1997-09-14,standard
AMP,AMP,1996-01-02,1999-04-04,identity_ambiguous_multi_tenure
AMP,AMP,2005-10-03,2025-05-17,identity_ambiguous_multi_tenure
AMT,AMT,2007-11-19,2025-05-17,standard
AMTM,AMTM,2024-10-01,2024-12-25,standard
AMZN,AMZN,2005-11-21,2025-05-17,standard
AN,AN,1996-01-02,1999-01-03,identity_ambiguous_multi_tenure
AN,AN,2003-02-24,2017-08-07,identity_ambiguous_multi_tenure
ANDV,ANDV,2007-09-27,2018-09-30,standard
ANDW,ANDW,1996-01-02,2006-10-01,standard
ANET,ANET,2018-08-28,2025-05-17,standard
ANF,ANF,2007-03-29,2013-12-22,standard
ANRZQ,ANRZQ,2011-06-02,2012-10-01,legacy_suffix_needs_verification
ANSS,ANSS,2017-06-19,2025-05-17,standard
ANTM,ANTM,2002-07-25,2022-06-27,standard
ANV,ANV,1996-01-02,1999-04-11,standard
AON,AON,1996-04-23,2025-05-17,standard
AOS,AOS,2017-07-26,2025-05-17,standard
APA,APA,1997-07-28,2025-05-17,standard
APC,APC,1997-07-28,2019-08-08,standard
APCC,APCC,2000-06-01,2007-02-14,standard
APD,APD,1996-01-02,2025-05-17,standard
APH,APH,2008-09-30,2025-05-17,standard
APO,APO,2024-12-26,2025-05-17,standard
APOL,APOL,2002-05-15,2013-06-30,standard
APTV,APTV,2012-12-24,2025-05-17,standard
AR,AR,1996-01-02,1999-10-26,standard
ARC,ARC,1996-01-02,2000-04-17,standard
ARE,ARE,2017-03-20,2025-05-17,standard
ARG,ARG,2009-09-09,2016-05-22,standard
ARNC,ARNC,1996-01-02,2020-04-05,standard
AS,AS,1996-01-02,1998-11-23,standard
ASC,ASC,1996-01-02,1999-06-23,standard
ASH,ASH,1996-01-02,2008-11-13,standard
ASN,ASN,2004-12-20,2007-10-07,standard
ASND,ASND,1998-06-12,1999-06-24,standard
ASO,ASO,1999-03-10,2006-11-05,standard
AT,AT,1996-01-02,2007-11-18,standard
ATGE,ATGE,2009-06-09,2012-09-30,standard
ATI,ATI,1996-01-02,2015-07-01,standard
ATO,ATO,2019-02-15,2025-05-17,standard
ATVI,ATVI,2015-08-31,2023-10-13,standard
AV,AV,2000-10-02,2007-10-25,standard
AVB,AVB,2007-01-10,2025-05-17,standard
AVGO,AVGO,2014-05-08,2025-05-17,standard
AVP,AVP,1996-01-02,2015-03-22,standard
AVY,AVY,1996-01-02,2025-05-17,standard
AW,AW,1999-08-02,2008-12-04,standard
AWE,AWE,2001-07-09,2004-10-26,standard
AWK,AWK,2016-03-04,2025-05-17,standard
AXON,AXON,2023-05-07,2025-05-17,standard
AXP,AXP,1996-01-02,2025-05-17,standard
AYE,AYE,2000-12-11,2011-02-27,standard
AYI,AYI,2016-05-03,2018-06-17,standard
AZA-A,AZA-A,1996-01-02,2001-06-24,standard
AZO,AZO,1997-01-02,2025-05-17,standard
BA,BA,1996-01-02,2025-05-17,standard
BAC,BAC,1996-01-02,2025-05-17,standard
BALL,BALL,2022-05-10,2025-05-17,standard
BAX,BAX,1996-01-02,2025-05-17,standard
BAY,BAY,1996-02-12,1998-08-30,standard
BBBY,BBBY,1999-10-01,2017-07-25,standard
BBI,BBI,1996-01-02,1998-01-11,standard
BBT,BBT,1997-12-04,2019-12-08,standard
BBWI,BBWI,2021-08-03,2024-09-30,standard
BBY,BBY,1999-06-30,2025-05-17,standard
BC,BC,1996-01-02,2008-06-22,standard
BCO,BCO,1996-01-02,1996-01-21,standard
BCR,BCR,1996-01-02,2017-12-28,standard
BDK,BDK,1996-01-02,2010-03-14,standard
BDX,BDX,1996-01-02,2025-05-17,standard
BEAM,BEAM,1996-01-02,2014-04-30,standard
BEN,BEN,1998-04-29,2025-05-17,standard
BEV,BEV,1996-01-02,1997-12-03,standard
BF-B,BF-B,1996-01-02,2025-05-17,standard
BFI,BFI,1996-01-02,1999-08-01,standard
BFO,BFO,1996-01-02,2000-10-02,standard
BG,BG,2023-03-15,2025-05-17,standard
BGEN,BGEN,2000-01-31,2003-11-12,standard
BGG,BGG,1996-01-02,2001-04-02,standard
BHF,BHF,2017-08-07,2019-04-01,standard
BHGE,BHGE,1996-01-02,2019-10-17,standard
BHMSQ,BHMSQ,1996-01-02,2000-12-10,legacy_suffix_needs_verification
BIG,BIG,1998-01-20,2013-02-13,standard
BIIB,BIIB,2003-11-13,2025-05-17,standard
BIO,BIO,2020-06-22,2024-09-21,standard
BJS,BJS,2002-05-15,2010-04-28,standard
BK,BK,1996-01-02,2025-05-17,standard
BKB,BKB,1996-01-02,1999-09-30,standard
BKNG,BKNG,2009-11-06,2025-05-17,standard
BKR,BKR,2019-10-18,2025-05-17,standard
BLDR,BLDR,2023-12-17,2025-05-17,standard
BLK,BLK,2011-04-04,2025-05-17,standard
BLL,BLL,1996-01-02,2022-05-09,standard
BLS,BLS,1996-01-02,2007-01-02,standard
BLY,BLY,1996-01-02,1996-12-18,standard
BMC,BMC,1998-10-01,2013-09-10,standard
BMET,BMET,1996-01-02,2007-07-11,standard
BMGCA,BMGCA,1996-07-22,1999-08-08,standard
BMS,BMS,1996-01-02,2014-12-04,standard
BMY,BMY,1996-01-02,2025-05-17,standard
BNI,BNI,1996-01-02,2010-02-15,standard
BNL,BNL,1996-01-02,1998-06-30,standard
BOAT,BOAT,1996-01-02,1997-01-06,standard
BOL,BOL,1996-01-02,2007-10-28,standard
BR,BR,1996-01-02,2006-04-02,identity_ambiguous_multi_tenure
BR,BR,2018-06-18,2025-05-17,identity_ambiguous_multi_tenure
BRCM,BRCM,2000-07-03,2016-01-31,standard
BRK-B,BRK-B,2010-02-16,2025-05-17,standard
BRL,BRL,2006-02-27,2008-12-22,standard
BRO,BRO,2021-09-20,2025-05-17,standard
BSC,BSC,1998-07-01,2008-06-01,standard
BSX,BSX,1996-01-02,2025-05-17,standard
BT,BT,1996-01-02,1999-06-03,standard
BTUUQ,BTUUQ,2006-11-20,2014-09-21,legacy_suffix_needs_verification
BUD,BUD,1996-01-02,2008-11-17,standard
BVSN,BVSN,2000-11-06,2001-09-03,standard
BWA,BWA,2011-12-19,2025-03-24,standard
BX,BX,2023-09-18,2025-05-17,standard
BXLT,BXLT,2015-07-01,2016-06-02,standard
BXP,BXP,2006-04-03,2025-05-17,standard
C,C,1996-01-02,2025-05-17,standard
CA,CA,1996-01-02,2018-11-05,standard
CAG,CAG,1996-01-02,2025-05-17,standard
CAH,CAH,1997-05-27,2025-05-17,standard
CAL,CAL,1996-01-02,1996-07-21,standard
CAM,CAM,2008-01-29,2016-04-03,standard
CAR,CAR,1996-01-02,2006-07-31,standard
CARR,CARR,2020-04-03,2025-05-17,standard
CAT,CAT,1996-01-02,2025-05-17,standard
CB,CB,1996-01-02,2025-05-17,standard
CBB,CBB,1996-01-02,1998-01-27,standard
CBE,CBE,1996-01-02,2009-09-08,identity_ambiguous_multi_tenure
CBE,CBE,2011-11-23,2012-12-02,identity_ambiguous_multi_tenure
CBH,CBH,2006-06-06,2008-03-30,standard
CBOE,CBOE,2017-03-01,2025-05-17,standard
CBRE,CBRE,2006-11-10,2025-05-17,standard
CBS,CBS,1996-01-02,2019-12-04,standard
CBSS,CBSS,2004-12-20,2007-09-06,standard
CCB,CCB,1996-01-02,1996-02-11,standard
CCE,CCE,1998-10-08,2016-05-30,standard
CCEP,CCEP,2016-01-04,2016-05-30,standard
CCI,CCI,1996-01-02,1998-10-07,identity_ambiguous_multi_tenure
CCI,CCI,2012-03-13,2025-05-17,identity_ambiguous_multi_tenure
CCK,CCK,1996-01-02,2000-12-10,standard
CCL,CCL,1998-12-22,2025-05-17,standard
CCTYQ,CCTYQ,1996-01-02,2008-03-30,legacy_suffix_needs_verification
CCU,CCU,1997-09-02,2008-07-30,standard
CDAY,CDAY,2021-09-20,2024-02-01,standard
CDNS,CDNS,2017-09-18,2025-05-17,standard
CDW,CDW,2019-09-23,2025-05-17,standard
CE,CE,2001-04-02,2004-02-26,identity_ambiguous_multi_tenure
CE,CE,2018-12-24,2025-03-24,identity_ambiguous_multi_tenure
CEG,CEG,1996-01-02,2012-03-12,identity_ambiguous_multi_tenure
CEG,CEG,2022-02-02,2023-05-06,identity_ambiguous_multi_tenure
CEG,CEG,2023-05-17,2025-05-17,identity_ambiguous_multi_tenure
CELG,CELG,2006-11-06,2019-11-20,standard
CEN,CEN,1996-01-02,2001-04-01,standard
CEPH,CEPH,2008-11-17,2011-10-13,standard
CERN,CERN,2010-04-30,2022-06-07,standard
CF,CF,2000-06-19,2004-08-31,identity_ambiguous_multi_tenure
CF,CF,2008-08-27,2025-05-17,identity_ambiguous_multi_tenure
CFC,CFC,1997-06-18,2008-06-30,standard
CFG,CFG,2016-02-01,2025-05-17,standard
CFL,CFL,1996-01-02,1998-04-27,standard
CFN,CFN,2009-09-01,2015-03-16,standard
CG,CG,1996-01-02,2000-11-01,standard
CGP,CGP,1996-01-02,2001-01-29,standard
CHA,CHA,1996-01-02,2000-06-18,standard
CHD,CHD,2015-12-29,2025-05-17,standard
CHIR,CHIR,2000-11-24,2006-04-19,standard
CHK,CHK,2006-03-03,2018-03-18,standard
CHRS,CHRS,1996-01-02,1998-04-07,standard
CHRW,CHRW,2007-03-02,2025-05-17,standard
CHTR,CHTR,2016-09-08,2025-05-17,standard
CI,CI,1996-01-02,2025-05-17,standard
CIEN,CIEN,2001-08-30,2009-12-20,standard
CIN,CIN,1996-01-02,2006-04-02,standard
CINF,CINF,1997-12-18,2025-05-17,standard
CIT-A,CIT-A,2000-07-17,2001-06-03,standard
CITGQ,CITGQ,2004-10-27,2009-07-26,legacy_suffix_needs_verification
CL,CL,1996-01-02,2025-05-17,standard
CLF,CLF,2009-12-21,2014-04-01,standard
CLX,CLX,1996-01-02,2025-05-17,standard
CMA,CMA,1996-01-02,2024-06-22,standard
CMB,CMB,1996-01-02,1996-03-31,standard
CMCSA,CMCSA,1996-01-02,2025-05-17,standard
CMCSK,CMCSK,2015-09-21,2015-12-13,standard
CME,CME,2006-08-11,2025-05-17,standard
CMG,CMG,2011-04-28,2025-05-17,standard
CMI,CMI,1996-01-02,2025-05-17,standard
CMS,CMS,1999-05-03,2025-05-17,standard
CMVT,CMVT,1999-10-27,2007-01-31,standard
CMX,CMX,2004-03-25,2007-03-22,standard
CNC,CNC,1997-01-15,2002-07-24,identity_ambiguous_multi_tenure
CNC,CNC,2016-03-30,2025-05-17,identity_ambiguous_multi_tenure
CNG,CNG,1996-01-02,2000-01-30,standard
CNP,CNP,1996-01-02,2025-05-17,standard
CNW,CNW,1996-01-02,1996-12-02,standard
CNX,CNX,2006-06-28,2016-03-03,standard
CNXT,CNXT,2000-01-31,2002-06-25,standard
COC-B,COC-B,1999-08-09,2002-09-02,standard
COF,COF,1998-07-01,2025-05-17,standard
COG,COG,2008-06-23,2021-10-03,standard
COIN,COIN,2025-05-13,2025-05-13,identity_ambiguous_multi_tenure
COIN,COIN,2025-05-17,2025-05-17,identity_ambiguous_multi_tenure
COL,COL,2001-07-02,2018-11-26,standard
COMS,COMS,1996-01-02,2000-07-27,standard
COO,COO,2016-09-23,2025-05-17,standard
COP,COP,1996-01-02,2025-05-17,standard
COR,COR,2023-09-03,2025-05-17,standard
COST,COST,1996-01-02,2025-05-17,standard
COTY,COTY,2016-10-03,2020-09-20,standard
COV,COV,1996-01-02,1996-08-15,identity_ambiguous_multi_tenure
COV,COV,2007-07-02,2009-06-04,identity_ambiguous_multi_tenure
COV,COV,2011-03-01,2015-01-26,identity_ambiguous_multi_tenure
CPAY,CPAY,2024-03-27,2025-05-17,standard
CPB,CPB,1996-01-02,2025-05-17,standard
CPGX,CPGX,2015-07-02,2016-06-30,standard
CPNLQ,CPNLQ,2000-12-01,2005-12-01,legacy_suffix_needs_verification
CPQ,CPQ,1996-01-02,2002-05-05,legacy_suffix_needs_verification
CPRI,CPRI,2016-01-04,2020-05-11,standard
CPRT,CPRT,2018-07-02,2025-05-17,standard
CPT,CPT,2022-04-04,2025-05-17,standard
CPWR,CPWR,1999-01-04,2012-01-02,standard
CR,CR,1996-01-02,2004-12-19,standard
CRL,CRL,2021-05-14,2025-05-17,standard
CRM,CRM,2008-09-15,2025-05-17,standard
CRR,CRR,1996-01-02,1997-05-26,standard
CRWD,CRWD,2024-06-23,2025-05-17,standard
CSCO,CSCO,1996-01-02,2025-05-17,standard
CSE,CSE,1996-01-22,1999-11-14,standard
CSGP,CSGP,2022-09-19,2025-05-17,standard
CSR,CSR,1996-01-02,2000-06-15,standard
CSRA,CSRA,2015-11-30,2018-04-03,standard
CSX,CSX,1996-01-02,2025-05-17,standard
CTAS,CTAS,2001-03-01,2025-05-17,standard
CTB,CTB,1996-01-02,2006-07-17,standard
CTL,CTL,1999-03-25,2020-09-17,standard
CTLT,CTLT,2020-09-21,2024-12-18,standard
CTRA,CTRA,2021-10-04,2025-05-17,standard
CTSH,CTSH,2006-11-17,2025-05-17,standard
CTVA,CTVA,2019-06-03,2025-05-17,standard
CTX,CTX,1996-01-02,2009-08-18,standard
CTXS,CTXS,1999-12-01,2022-10-02,standard
CVC,CVC,2010-12-20,2016-06-20,standard
CVG,CVG,2000-06-13,2009-12-20,standard
CVH,CVH,2005-08-30,2013-05-06,standard
CVS,CVS,1996-01-02,2025-05-17,standard
CVX,CVX,1996-01-02,2025-05-17,standard
CXO,CXO,2016-02-22,2021-01-20,standard
CYM,CYM,1996-01-02,1999-10-17,standard
CYR,CYR,1996-01-02,1996-03-27,standard
CZR,CZR,2021-03-22,2025-05-17,standard
D,D,1996-01-02,2025-05-17,standard
DAL,DAL,2013-09-11,2025-05-17,standard
DALRQ,DALRQ,1996-01-02,2005-08-18,legacy_suffix_needs_verification
DASH,DASH,2025-03-25,2025-05-17,standard
DAY,DAY,2024-02-02,2025-05-17,standard
DCNAQ,DCNAQ,1996-01-02,2006-03-02,legacy_suffix_needs_verification
DD,DD,1996-01-02,2017-08-31,identity_ambiguous_multi_tenure
DD,DD,2019-06-03,2025-05-17,identity_ambiguous_multi_tenure
DDR,DDR,2007-03-23,2009-03-29,standard
DDS,DDS,1996-01-02,2008-10-21,standard
