strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_current_rank,incoming_current_rank,rank_gap,outgoing_rank_deterioration,outgoing_score,incoming_score,score_spread,score_percentile_spread,outgoing_return_20d,incoming_return_20d,outgoing_return_60d,incoming_return_60d,outgoing_acceleration,incoming_acceleration,outgoing_unrealized_return,outgoing_holding_sessions,outgoing_mfe_to_date,outgoing_mae_to_date,outgoing_giveback,outgoing_recovery_from_mae,outgoing_currently_profitable,incoming_drawdown_from_60d_high,incoming_distance_from_189d_high,outgoing_subsequent_return,incoming_subsequent_return,replacement_advantage,outgoing_future_mfe,outgoing_future_mae,outgoing_future_max_drawdown,incoming_future_mfe,incoming_future_mae,incoming_future_max_drawdown
Market-Residual Momentum,2021-09-01,2021-10-01,MSFT,VZ,5,6,2,4,1,-0.0043626402563750055,-0.003300249633539809,0.0010623906228351965,0.1428571428571429,0.053419458702872014,-0.013098933506830224,0.19167039396615992,-0.027659817557531885,-0.01047067261918129,-0.003878994320986262,-0.004517756603965362,7,0.0046166327996186585,-0.01371797774748773,0.00913438940358402,0.009200221143522369,False,-0.030033980586556153,,-0.06851150130095363,-0.017818145826597243,0.05069335547435638,0.008089296104890176,-0.07016248867464014,-0.07633879897907137,0.009091016906951133,-0.018181799208429328,-0.02561801736925784
Market-Residual Momentum,2021-09-01,2021-10-01,CSCO,WMT,3,7,5,2,4,-0.004413430403463425,-0.00401021308957672,0.0004032173138867057,0.07142857142857151,0.04924471112948958,0.03354893134541448,0.10221610917169777,0.054967995223870636,0.015172674738923662,0.015226266270790934,0.02022471792167968,7,0.025929114790792518,0.0,0.005704396869112838,0.02022471792167968,True,-0.022119377890139513,,-0.07489008310836431,-0.0562486283892486,0.018641454719115713,0.011860509711244305,-0.07810921816790473,-0.08567125835701395,0.014163461159895085,-0.056316199438085746,-0.06693478303485723
Market-Residual Momentum,2021-10-01,2021-11-01,WMT,MSFT,5,6,5,1,1,-0.0034083311383668047,-0.003370548864954692,3.778227341211249e-05,0.03571428571428581,-0.05684135418540226,-0.06596457195289596,0.0013092389135316296,0.009037094071135066,-0.05727776715657947,-0.06897693664327431,-0.05543524648340359,21,0.011452741406829059,-0.05543524648340359,0.06688798789023265,0.0,False,-0.07633879897907137,,0.07697855138712728,0.1745359338462984,0.09755738245917112,0.08107156256343129,-0.03267239547627443,-0.025347960511773904,0.17680430121582136,-0.00662827676155342,-0.020719455736905812
Market-Residual Momentum,2021-11-01,2021-12-01,MSFT,CSCO,5,6,5,1,1,-0.0034631812092449366,-0.003283493677507243,0.00017968753173769336,0.03571428571428581,0.14707717676145005,0.02190978637761365,0.1476056975375728,0.010546892886866166,0.09787527758225911,0.018394155415324926,0.1754573392261325,21,0.1754573392261325,0.0,0.0,0.1754573392261325,True,-0.053450547701305307,,0.013227639835240446,-0.006085681715015667,-0.019313321550256113,0.05718755353117366,-0.015059121363374173,-0.039142016989139106,0.04940030705925591,-0.08573478675828783,-0.07824124448460701
Market-Residual Momentum,2021-12-01,2022-01-03,CSCO,PG,5,12,5,7,7,-0.005873415223656142,-0.0032649192263389804,0.0026084959973171618,0.25,-0.022459954108985714,0.013600508404461475,-0.07084357314135581,0.009900984732591711,0.0011545702714662216,0.010300180160264238,-0.018435723441884377,21,0.03400742136707269,-0.046894606087006574,0.052443144808957065,0.028458882645122197,False,-0.03252146453005811,-0.03252146453005811,0.13272114371848165,0.11625829810722665,-0.016462845611254995,0.15775272901494763,-0.010804943045393811,-0.024978875620373486,0.13897167531944143,0.0,-0.022655512421803525
Market-Residual Momentum,2022-02-01,2022-03-01,PG,HON,2,6,5,1,4,-0.004699856203686736,-0.0044826908074764305,0.00021716539621030595,0.03571428571428581,-0.013838670038885614,-0.016385294564325803,0.11214268994808196,-0.07549408616950337,-0.05121956668824627,0.008779400825508654,0.11367854902080698,42,0.13365589216265672,0.0,0.019977343141849735,0.11367854902080698,True,-0.09829354275909008,-0.12140129736675154,-0.04030148844099668,-0.07969523210956131,-0.03939374366856463,0.026058784221668185,-0.06362350717349596,-0.07542355835515846,0.01917324998188774,-0.14256998165521184,-0.14032952315755565
Market-Residual Momentum,2022-03-01,2022-04-01,HON,PG,5,6,3,3,1,-0.005796101363352735,-0.00485655107391425,0.0009395502894384844,0.1071428571428572,-0.05825051702649797,-0.028722505165808654,-0.04325151131336746,0.07057214755120755,-0.04383334658870882,-0.052246554349544505,-0.06720929528497954,19,0.017751218011798908,-0.12506932510481827,0.08496051329677845,0.05786002981983873,False,-0.05026203175309718,-0.05026203175309718,0.04641827790786124,-0.005119102198015035,-0.051537380105876274,0.0650602998630696,-0.027723261774844854,-0.02858391124304238,0.013998364387118656,-0.07309930537271381,-0.07683365862799174
Market-Residual Momentum,2022-04-01,2022-05-02,VZ,HON,5,7,2,5,2,-0.007013045200712775,-0.006220665934673741,0.0007923792660390339,0.1785714285714286,-0.06805691758430266,0.037649090134942886,-0.03583818047820864,-0.06386903195876326,-0.056110857424899775,0.05893876745453064,-0.05152731309164127,147,0.026115705196732675,-0.08434408364122836,0.07764301828837394,0.03281677054958709,False,-0.10836545763171324,-0.1618504208845486,-0.07729664690814508,-0.0042188893485222145,0.07307775755962287,0.10125289811286176,-0.08404171063550347,-0.1583348560003619,0.03418099019809251,-0.05152711838670865,-0.0521847388585307
Market-Residual Momentum,2022-04-01,2022-05-02,PG,MSFT,3,8,4,4,5,-0.007767111232717561,-0.00660887207869898,0.001158239154018581,0.1428571428571429,-0.010106586875581192,0.04186916211355718,-0.06022489095636674,-0.060978607671542284,0.009968376776541055,0.06219536467073794,-0.009785249332204371,23,0.00745313034876105,-0.07186800147546568,0.01723837968096542,0.06208275214326131,False,-0.029291026075299098,-0.09956713234341596,0.058537162461028025,-0.1023369956174901,-0.16087415807851813,0.08015321267562792,-0.014721590678684393,-0.020751044374807237,0.018553533775137465,-0.12725858346009644,-0.14207677039885602
Market-Residual Momentum,2022-06-01,2022-07-01,KO,AAPL,2,7,4,3,5,-0.00899027054046142,-0.007790895780059315,0.0011993747604021054,0.1071428571428572,-0.0009457140123758645,-0.05635183483447659,0.020699407684335647,-0.08648230736008433,-0.007845516573821081,-0.02752439904778181,0.14427694867165575,195,0.1953704290248539,-0.06712521492111978,0.05109348035319816,0.21140216359277553,True,-0.16708387238509048,-0.17999773074636127,0.0024603387085344597,-0.09246141624322257,-0.09492175495175703,0.012624698938116019,-0.07488404903731438,-0.06642428797302002,0.012274927762507604,-0.13915943865721137,-0.13987198025203185
