strategy,universe,mda_pct,benchmark_gap_pct,gates_passed,gates_applicable,status,verdict,error
"9/21 EMA Crossover","dow_pit",17.894668984985213,-76.28131829132046,12,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"9/21 EMA Crossover","sp400_pit",17.894668984985213,-60.68054715748461,12,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"9/21 EMA Crossover","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"9/21 EMA Crossover","sp600_pit",17.894668984985213,-20.16699485383107,12,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Anchored VWAP Breakout","dow_pit",17.894668984985213,-77.8529832687876,8,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Anchored VWAP Breakout","sp400_pit",17.894668984985213,-84.4539679791539,7,23,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Anchored VWAP Breakout","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Anchored VWAP Breakout","sp600_pit",17.894668984985213,-84.4539679791539,7,23,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Breakout from Consolidation","dow_pit",17.894668984985213,-86.24643522981805,12,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Breakout from Consolidation","sp400_pit",17.894668984985213,-75.65207157229217,13,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Breakout from Consolidation","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Breakout from Consolidation","sp600_pit",17.894668984985213,-72.10122963460174,11,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Connors Mean Reversion (RSI2)","dow_pit",17.894668984985213,-72.70671943429801,13,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Connors Mean Reversion (RSI2)","sp400_pit",17.894668984985213,-75.5818943053969,12,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Connors Mean Reversion (RSI2)","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Connors Mean Reversion (RSI2)","sp600_pit",17.894668984985213,-47.34174365338249,13,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Dual Momentum","dow_pit",11.802344786768153,40.485493248349755,17,25,"completed","Underpowered - MDA 11.80%/yr exceeds 2.00%/yr",""
"Dual Momentum","sp400_pit",11.802344786768153,22.465784475654857,12,25,"completed","Underpowered - MDA 11.80%/yr exceeds 2.00%/yr",""
"Dual Momentum","sp500_pit",11.802344786768153,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Dual Momentum","sp600_pit",11.802344786768153,11.996511559903624,12,25,"completed","Underpowered - MDA 11.80%/yr exceeds 2.00%/yr",""
"Dual Momentum Pullback Swing","dow_pit",17.894668984985213,-73.96037510249627,9,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Dual Momentum Pullback Swing","sp400_pit",17.894668984985213,-70.77011334593226,9,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Dual Momentum Pullback Swing","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Dual Momentum Pullback Swing","sp600_pit",17.894668984985213,-73.07726932712924,9,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Earnings Momentum / Gap-Hold","dow_pit",17.894668984985213,-50.60505978717527,12,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Earnings Momentum / Gap-Hold","sp400_pit",17.894668984985213,-70.04827044010698,10,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Earnings Momentum / Gap-Hold","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Earnings Momentum / Gap-Hold","sp600_pit",17.894668984985213,-72.00355831620189,10,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Fibonacci Retracement Entry","dow_pit",17.894668984985213,-94.92919634913937,9,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Fibonacci Retracement Entry","sp400_pit",17.894668984985213,-74.85388197330907,11,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Fibonacci Retracement Entry","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Fibonacci Retracement Entry","sp600_pit",17.894668984985213,-81.86282295934105,11,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Gap Fade (daily)","dow_pit",17.894668984985213,-84.229977301161,8,23,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Gap Fade (daily)","sp400_pit",17.894668984985213,-83.49180271641832,8,23,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Gap Fade (daily)","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Gap Fade (daily)","sp600_pit",17.894668984985213,-85.5096291859921,10,23,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Internal Bar Strength (IBS)","dow_pit",17.894668984985213,-84.50412283844062,11,23,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Internal Bar Strength (IBS)","sp400_pit",17.894668984985213,-90.39700626105174,10,23,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Internal Bar Strength (IBS)","sp500_pit",17.894668984985213,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Internal Bar Strength (IBS)","sp600_pit",17.894668984985213,-88.22377140287492,11,24,"completed","Underpowered - MDA 17.89%/yr exceeds 2.00%/yr",""
"Mean Reversion Scalp","dow_pit",28.293955983663356,-2.8599778228027395,7,23,"completed","Underpowered - MDA 28.29%/yr exceeds 2.00%/yr",""
"Mean Reversion Scalp","sp400_pit",28.293955983663356,"","","","failed","","Market-data preflight failed: AA: no price data; AIT: no price data; AN: no price data; ATI: no price data; BC: no price data; BRX: no price data; CCK: no price data; CHRD: no price data; COLB: no price data; CVLT: no price data; DLB: no price data; ELAN: no price data; EWBC: no price data; FHI: no price data; FOUR: no price data; GLPI: no price data; HALO: no price data; HRB: no price data; ITT: no price data; KNX: no price data; LNTH: no price data; MKSI: no price data; MTSI: no price data; NNN: no price data; OC: no price data; OPCH: no price data; PBF: no price data"
"Mean Reversion Scalp","sp500_pit",28.293955983663356,"","","","blocked","","Licensed historical constituents and delisted-price coverage are not installed; running a current roster would be survivorship-biased."
"Mean Reversion Scalp","sp600_pit",28.293955983663356,"","","","failed","","Market-data preflight failed: AAMI: no price data; ACIW: no price data; AEO: no price data; ALG: no price data; AROC: no price data; AWI: no price data; BCPC: no price data; BLFS: no price data; BXMT: no price data; CBRL: no price data; CFFN: no price data; CRC: no price data; CXW: no price data; DFIN: no price data; EAT: no price data; ENPH: no price data; EVTC: no price data; FCPT: no price data; FORM: no price data; GEO: no price data; GRBK: no price data; HCC: no price data; HOPE: no price data; HZO: no price data; INVA: no price data; JBSS: no price data"
